disease,decimalLongitude,decimalLatitude
Chikungunya,3.51667,6.61667
Chikungunya,7.44927,10.50013
Chikungunya,7.18259,12.74992
Chikungunya,-4.0502,11.01762
Chikungunya,-12.3665,12.01665
Chikungunya,20.35015,8.08337
Chikungunya,36.68411,-8.13536
Chikungunya,-3.66667,9.6
Chikungunya,-4.76688,10.63432
Chikungunya,-2.21684,11.76755
Chikungunya,25.84977,-17.86782
Chikungunya,32.88401,-2.53586
Chikungunya,23.11657,-13.56806
Chikungunya,8.67425,9.08458
Chikungunya,-1.08309,5.20282
Chikungunya,26.65053,-4.45213
Chikungunya,7.6326,11.78334
Chikungunya,7.59928,5.53392
Chikungunya,7.16593,9.16691
Chikungunya,-4.46688,11.46758
Chikungunya,8.14929,5.98388
Chikungunya,4.18254,12.46661
Chikungunya,7.8326,12.54994
Chikungunya,10.19931,11.83335
Chikungunya,9.74931,8.18367
Chikungunya,8.53261,12.04999
Chikungunya,28.31846,-25.755835
Chikungunya,32.583726,0.316316
Chikungunya,18.6489,-33.8986
Chikungunya,26.38,-12.17
Chikungunya,-16.23,12.8
Chikungunya,34.89,1.09
Chikungunya,34.73,-0.09
Chikungunya,17.65,5.27
Chikungunya,18.91,5.64
Chikungunya,34.78,0.37
Chikungunya,-15.68,16.47
Chikungunya,30.17,0.82
Chikungunya,21.2,5.05
Chikungunya,37.23,19.63
Chikungunya,29.9,-0.18
Chikungunya,-13.11,13.21
Chikungunya,-16.82,14.17
Chikungunya,-15.56,12.7
Chikungunya,47.1,-16.12
Chikungunya,-16.25,15.62
Chikungunya,10.52,5.14
Chikungunya,12.72,-0.83
Chikungunya,14.29,6.52
Chikungunya,9.7,4.05
Chikungunya,11.58,1.6
Chikungunya,13.68,4.58
Chikungunya,13.6,7.86
Chikungunya,44.66,-20.07
Chikungunya,47.29,-11.57
Chikungunya,-12.71,14.19
Chikungunya,12.53,3.91
Chikungunya,44.2,-23.07
Chikungunya,-16.5,16.03
Chikungunya,49.13,-12.91
Chikungunya,15.03,12.08
Chikungunya,10.52,3.85
Chikungunya,9.47,0.43
Chikungunya,-15.88,14.86
Chikungunya,13.4,9.3
Chikungunya,-13.68,13.77
Chikungunya,-11.76,12.83
Chikungunya,-12.55,13.01
Chikungunya,43.45,-11.83
Chikungunya,43.28,-11.4
Chikungunya,14.23,10.25
Chikungunya,35.61,0.64
Chikungunya,-16.44,14.64
Chikungunya,-17.44,14.67
Chikungunya,-12.17,12.56
Chikungunya,-15.33,15.72
Chikungunya,-15.92,13.8
Chikungunya,12.62,6.47
Chikungunya,-14.87,15.28
Chikungunya,14.36,4.43
Chikungunya,11.15,2.92
Chikungunya,14.55,5.89
Chikungunya,13.58,7.33
Chikungunya,40.11,-3.22
Chikungunya,-12.85,10.06
Chikungunya,-5.93,6.31
Chikungunya,-12.28,11.31
Chikungunya,-9.01,9.26
Chikungunya,-5.36,5.83
Chikungunya,-9.3,10.38
Chikungunya,-6.45,6.87
Chikungunya,-10.73,10.03
Chikungunya,-12.25,10.7
Chikungunya,-7.48,6.54
Chikungunya,-13.03,10.9
Chikungunya,-11.9,11.58
Chikungunya,-13.2,11.75
Chikungunya,-8.2,6.91
Chikungunya,-11.11,10.75
Chikungunya,-1.81,9.07
Chikungunya,-0.85,10.79
Chikungunya,-1.98,10.87
Chikungunya,-5.03,7.69
Chikungunya,-2.7,10.53
Chikungunya,-14.28,15.28
Chikungunya,-3.45,10.13
Chikungunya,-3.97,5.25
Chikungunya,49.2,-12.35
Chikungunya,-4.98,8.18
Chikungunya,-15.58,14.13
Chikungunya,-14.98,14.48
Chikungunya,-7.45,5.86
Chikungunya,44.41,-12.25
Chikungunya,-3.62,7.19
Chikungunya,31.6,-24.98
Chikungunya,30.83,-24.15
Chikungunya,27.55,-25.98
Chikungunya,30.16,-23.83
Chikungunya,6.38,6.3
Chikungunya,32.42,-28.38
Chikungunya,30.43,-30.77
Chikungunya,14.14,11.04
Chikungunya,39.45,-4.18
Chikungunya,3.63,8.13
Chikungunya,18.55,4.38
Chikungunya,18.48,5.13
Chikungunya,-4.22,7.7
Chikungunya,48.6,-18.78
Chikungunya,0.37,11.73
Chikungunya,27.0163,-32.60019
Chikungunya,-16.47,13.4
Chikungunya,-14.81,13.73
Chikungunya,-5.25,6.55
Chikungunya,-4.51,8.45
Chikungunya,-4.16,12.22
Chikungunya,-3.17,12.42
Chikungunya,9.2,12.43
Chikungunya,38.44,-3.49
Chikungunya,-0.178353,5.645388
Chikungunya,-3.61,12.81
Chikungunya,37.53,-2.54
Chikungunya,-11.36,9.53
Chikungunya,-10.38,8.34
Chikungunya,31.73,-0.34
Chikungunya,-12.3,9.33
Chikungunya,31.15,-0.4
Chikungunya,-11.95,8.72
Chikungunya,-12.08,7.77
Chikungunya,13.23,-8.81
Chikungunya,39.82,-3.75
Chikungunya,30.58,-3.62
Chikungunya,39.23,-6.79
Chikungunya,36.3,-8.97
Chikungunya,38.63,-5.1
Chikungunya,35.74,-6.18
Chikungunya,-2.75,11.62
Chikungunya,-3.15,12.98
Chikungunya,39.1,-5.07
Chikungunya,1.05,6.01
Chikungunya,30.977778,-29.890556
Chikungunya,7.8,5.07
Chikungunya,32.1,-28
Chikungunya,-14.41,13.38
Chikungunya,30.65,-0.61
Chikungunya,5.63,6.34
Chikungunya,-7.38,9.82
Chikungunya,45.01,10.43
Chikungunya,37.35,-0.67
Chikungunya,3.03254,6.7338
Chikungunya,2.63,6.48
Chikungunya,6.73259,7.80037
Chikungunya,47.250573,-19.482699
Chikungunya,43.66,-23.36
Chikungunya,-1.53,12.36
Chikungunya,39.27,-10.95
Chikungunya,31.89,-28.75
Chikungunya,46.98,-25.02
Chikungunya,13.6,-1.63
Chikungunya,32.25,-26.92
Chikungunya,44.67,1.65
Chikungunya,7.42,6.47
Chikungunya,-1.47,6.72
Chikungunya,15.31,-4.31
Chikungunya,31.67,-21.07
Chikungunya,44.466667,-25.25
Chikungunya,31.33,-22.45
Chikungunya,47.97,-18.9
Chikungunya,0.05,6.3
Chikungunya,49.92,-14.2
Chikungunya,4.25,8.12
Chikungunya,-16.99,14.92
Chikungunya,6.93,5.82
Chikungunya,11.84,-4.79
