disease,decimalLongitude,decimalLatitude
Chikungunya,-98.425921,30.103642
Chikungunya,-105.442808,20.487292
Chikungunya,-82.148736,26.971213
Chikungunya,-97.118208,32.76235
Chikungunya,-118.26186,34.1964
Chikungunya,-106.265087,31.56973
Chikungunya,-97.015884,32.311748
Chikungunya,-117.865478,33.865039
Chikungunya,-112.49554,33.346542
Chikungunya,-111.78302,32.12824
Chikungunya,-122.25,37.416667
Chikungunya,-98.18099,26.396383
Chikungunya,-119.583333,36.583343
Chikungunya,-120.083333,36.91667
Chikungunya,-91.169444,18.976389
Chikungunya,-95.329167,17.443056
Chikungunya,-88.045278,19.578611
Chikungunya,-94.4825,16.350833
Chikungunya,-97.929167,17.025833
Chikungunya,-104.682778,19.204167
Chikungunya,-103.811944,21.682778
Chikungunya,-99.009722,21.981944
Chikungunya,-91.362778,18.184444
Chikungunya,-101.092778,22.933333
Chikungunya,-100.755555,23.372222
Chikungunya,-86.833611,21.161111
Chikungunya,-90.531667,19.842222
Chikungunya,-102.330833,21.245833
Chikungunya,-96.465278,15.744444
Chikungunya,-102.549722,20.277222
Chikungunya,-97.893611,25.231667
Chikungunya,-116.610833,31.863611
Chikungunya,-93.721667,16.695
Chikungunya,-104.047222,20.547778
Chikungunya,-92.091667,18.255556
Chikungunya,-98.375278,22.213889
Chikungunya,-102.206389,21.860556
Chikungunya,-88.201389,20.690556
Chikungunya,-90.052222,20.373889
Chikungunya,-87.707222,18.716111
Chikungunya,-92.473611,16.539444
Chikungunya,-88.108333,19.024167
Chikungunya,-88.6025,20.965556
Chikungunya,-101.3475,20.674167
Chikungunya,-100.33,20.606667
Chikungunya,-99.708333,23.002778
Chikungunya,-89.533889,20.395278
Chikungunya,-98.954722,18.811667
Chikungunya,-102.890555,21.181667
Chikungunya,-100.721389,20.0325
Chikungunya,-99.669722,18.801111
Chikungunya,-89.843055,19.744444
Chikungunya,-101.058055,21.128056
Chikungunya,-100.298333,18.92
Chikungunya,-98.587222,21.7175
Chikungunya,-97.51844,27.738129
Chikungunya,-96.001389,18.118056
Chikungunya,-103.253611,19.675556
Chikungunya,-91.830833,18.643333
Chikungunya,-103.500833,19.092222
Chikungunya,-90.734444,18.606667
Chikungunya,-96.534722,18.070833
Chikungunya,-100.976111,22.151111
Chikungunya,-115.467778,32.663333
Chikungunya,-98.395833,20.913333
Chikungunya,-95.026111,17.068889
Chikungunya,-96.632778,17.006111
Chikungunya,-105.099444,20.823611
Chikungunya,-87.466389,20.208056
Chikungunya,-97.066667,15.8625
Chikungunya,-89.26,21.34
Chikungunya,-98.21,19.04
Chikungunya,-89.17,20.73
