disease,decimalLongitude,decimalLatitude
Chikungunya,0.0938,51.63513
Chikungunya,7.487419,51.464062
Chikungunya,3.912214,43.836853
Chikungunya,-0.415988,42.13777
Chikungunya,-3.788796,37.763367
Chikungunya,-4.897056,36.52124
Chikungunya,10.440453,45.125383
Chikungunya,4.28261,39.87993
Chikungunya,2.475622,42.16608
Chikungunya,0.194116,41.91593
Chikungunya,-1.075577,39.188877
Chikungunya,-1.181306,38.10061
Chikungunya,14.073415,54.014679
Chikungunya,0.371776,40.554405
Chikungunya,-5.446324,36.15671
Chikungunya,1.564217,41.219723
Chikungunya,9.663538,40.772674
Chikungunya,16.685608,43.159412
Chikungunya,1.46854,39.0212
Chikungunya,-2.0153,36.88043
Chikungunya,3.272209,39.44976
Chikungunya,-0.80113,40.831505
Chikungunya,8.880043,50.025608
Chikungunya,-3.67087,40.37389
Chikungunya,6.18395,44.06773
Chikungunya,1.140279,41.655262
Chikungunya,2.194813,41.40698
Chikungunya,5.40116,43.27749
Chikungunya,-3.4927,36.70528
Chikungunya,3.018518,39.888992
Chikungunya,-3.616488,37.19382
Chikungunya,7.02482,43.5895
Chikungunya,-0.93074,37.630596
Chikungunya,4.79412,43.55924
Chikungunya,2.784089,41.665657
Chikungunya,-5.994589,37.38844
Chikungunya,-1.509432,37.4329
Chikungunya,0.17653,38.78739
Chikungunya,-4.363074,36.725876
Chikungunya,2.837506,42.66613
Chikungunya,-3.019606,42.50276
Chikungunya,-1.322989,41.397713
Chikungunya,-0.201362,39.928677
Chikungunya,2.380292,39.54716
Chikungunya,-0.388677,39.453644
Chikungunya,3.008643,43.18837
Chikungunya,3.184118,42.25979
Chikungunya,-0.51434,38.387833
Chikungunya,-0.48874,38.923977
Chikungunya,-6.187889,36.9441
Chikungunya,-1.034103,40.3362
Chikungunya,14.485239,40.62773
Chikungunya,11.939499,45.39915
Chikungunya,1.847932,42.097862
Chikungunya,23.513327,37.929079
Chikungunya,21.29,48.68
Chikungunya,9.97,44.7
Chikungunya,9.61,45.26
Chikungunya,13.62,42.14
Chikungunya,10.92,44.54
Chikungunya,16.91,39.19
Chikungunya,4.89054,51.05373
Chikungunya,8.273545,48.842892
Chikungunya,0.47,44.37
Chikungunya,24.2,41.27
Chikungunya,16.59,49.12
Chikungunya,5.24,44.73
Chikungunya,9.39,45.9
Chikungunya,5.55,45.29
Chikungunya,2.65,44.32
Chikungunya,4.54,46.66
Chikungunya,16.26,47.14
Chikungunya,4.7,45.88
Chikungunya,5.73,46.78
Chikungunya,26.11,44.44
Chikungunya,4.37,44.82
Chikungunya,22.75,41.07
Chikungunya,11.97,47.87
Chikungunya,5.45,46.06
Chikungunya,9.94,46.32
Chikungunya,6.43,46.05
Chikungunya,23.7,40.27
Chikungunya,-0.88,43.19
Chikungunya,-0.47,44.88
Chikungunya,24.84,41.13
Chikungunya,1.24,43.3
Chikungunya,22.17,40.9
Chikungunya,13.29,43.15
Chikungunya,27.31,42.45
Chikungunya,11.88,43.52
Chikungunya,12.63,43.69
Chikungunya,10.54,43.28
Chikungunya,3.37,43.59
Chikungunya,10.44,44.02
Chikungunya,13.51,41.63
Chikungunya,11.45,43.17
Chikungunya,12.59,43.11
Chikungunya,12.92,42.41
Chikungunya,39.17,45.12
Chikungunya,7.8,47.99
Chikungunya,12.39,42.65
Chikungunya,5.2,44.05
Chikungunya,9.22,40.13
Chikungunya,4.12,51.21
Chikungunya,18.14,40.15
Chikungunya,20.35,39.54
Chikungunya,15.87,43.85
Chikungunya,7.39,45.16
Chikungunya,16.39,39.6
Chikungunya,9.02,45.04
Chikungunya,9.07,42.42
Chikungunya,8.3,46.12
Chikungunya,14.44,37.59
Chikungunya,19.4,42.7
Chikungunya,22.39,37.43
Chikungunya,15.13,40.42
Chikungunya,13.61,37.88
Chikungunya,9.77,44.23
Chikungunya,14.15,41.2
Chikungunya,15.57,41.64
Chikungunya,2.98,48.62
Chikungunya,21.97,37.09
Chikungunya,23.49,41.08
Chikungunya,2.1,49.08
Chikungunya,14.92,38.05
Chikungunya,16.51,38.83
Chikungunya,13.75,42.66
Chikungunya,16.99,44.67
Chikungunya,0.06,48.58
Chikungunya,16.4,40.45
Chikungunya,11.21,46.1
Chikungunya,8.2,44.83
Chikungunya,14.43,42.1
Chikungunya,0.91,41.05
Chikungunya,14.45,35.9
Chikungunya,17.25,40.55
Chikungunya,16.64,41.03
Chikungunya,5.87,51.19
Chikungunya,13.11,46.15
Chikungunya,12.21,45.81
Chikungunya,22.7,37.92
Chikungunya,14.68,45.06
Chikungunya,6.29,43.4
Chikungunya,11.06,45.44
Chikungunya,15.4,44.18
Chikungunya,8.58,45.58
Chikungunya,7.56,44.46
Chikungunya,8.97,41.86
Chikungunya,16.11,38.24
Chikungunya,18.03,42.72
Chikungunya,14.67,36.92
Chikungunya,10.34,45.78
Chikungunya,13.86,45.14
Chikungunya,5.56,51.68
Chikungunya,21.55,37.74
Chikungunya,19.67,44.92
Chikungunya,23.13,40.68
Chikungunya,22.39,40.25
Chikungunya,20.81,37.79
Chikungunya,6.25,45.56
Chikungunya,21.37,38.74
Chikungunya,14.6,46.06
Chikungunya,12.28,44.27
Chikungunya,14.77,41.72
Chikungunya,13.99,45.64
Chikungunya,13.76,46.1
Chikungunya,12.89,41.94
Chikungunya,8.94,39.39
Chikungunya,4.79,52.32
Chikungunya,4.27,51.99
Chikungunya,20.19,41.61
Chikungunya,8.96,40.8
Chikungunya,20.18,40.16
Chikungunya,20.09,40.61
Chikungunya,20.38,42.19
Chikungunya,-2.08,41.47
Chikungunya,15.9,45.79
Chikungunya,7.82,43.96
Chikungunya,11.82,44.77
Chikungunya,11.26,42.71
Chikungunya,8.32,44.23
Chikungunya,11.95,42.03
Chikungunya,11.09,43.94
Chikungunya,12.45,41.63
Chikungunya,12.21,46.28
Chikungunya,-0.68,48.81
Chikungunya,0.48,46.76
Chikungunya,119.44,-5.12
Chikungunya,72.19,31.16
Chikungunya,120.3,22.61
Chikungunya,123.07,0.69
Chikungunya,118.98,-9.59
Chikungunya,105.31,-5.12
Chikungunya,114.9,-3.39
Chikungunya,124.51,1.18
Chikungunya,113.79,-2.2
Chikungunya,71.718,34.15
Chikungunya,112.38,-7.62
Chikungunya,103.61,-1.62
Chikungunya,120.77,22.13
Chikungunya,105.55,15.88
Chikungunya,112.82,-8.05
Chikungunya,101.89,3.57
Chikungunya,73.05,31.4167
Chikungunya,109.15,-6.88
Chikungunya,119.76,-5.48
Chikungunya,68.37,25.38
Chikungunya,39.17,21.54
Chikungunya,102.79,17.42
Chikungunya,111.44,-6.97
Chikungunya,104.58,15.13
Chikungunya,101.38,12.62
Chikungunya,110.34,-7.92
Chikungunya,99.83,19.91
Chikungunya,72.69,33.82
Chikungunya,100.1,17.63
Chikungunya,101.98,2.69
Chikungunya,99.02,18.58
Chikungunya,67.01,24.86
Chikungunya,100.12,14.48
Chikungunya,39.98,21.34
Chikungunya,102.02,15.81
Chikungunya,110.79,-7.57
Chikungunya,107.55,-6.87
Chikungunya,85.6,24.47
Chikungunya,81.61,7.77
Chikungunya,85.24,21.35
Chikungunya,102.03,5.28
Chikungunya,76.92,8.52
Chikungunya,111.1,-8.21
Chikungunya,102.26,6.12
Chikungunya,99.24,17.64
Chikungunya,117.13,5.35
Chikungunya,41.21,21.63
Chikungunya,113.3,2.59
Chikungunya,119.42,-2.34
Chikungunya,115.99,-3.45
Chikungunya,90.41,23.74
Chikungunya,103.39,2.05
Chikungunya,101.11,4.78
Chikungunya,86.13,20.63
Chikungunya,120.22,-5.54
Chikungunya,102.55,3.73
Chikungunya,97.97,18.16
Chikungunya,90.29,24.18
Chikungunya,100.27,16.82
Chikungunya,102.31,2.33
Chikungunya,100.06,13.82
Chikungunya,79.8,7.58
Chikungunya,105.84,-1.61
Chikungunya,115.32,-8.54
Chikungunya,105.05,15.61
Chikungunya,96.91,4.23
Chikungunya,44.04,15.77
Chikungunya,98.52,8.44
Chikungunya,101.15,16.26
Chikungunya,105,8.78
Chikungunya,105.34,14.77
Chikungunya,75.82,30.81
Chikungunya,108.73,12.76
Chikungunya,107.48,12.31
Chikungunya,110.69,-6.62
Chikungunya,120.5,-1.68
Chikungunya,117.46,0.16
Chikungunya,95.96,5.34
Chikungunya,95.32,5.55
Chikungunya,107.18,-6.36
Chikungunya,122.14,7.14
Chikungunya,43.18,14.83
Chikungunya,119.79,-0.82
Chikungunya,46.94,14.74
Chikungunya,73.2333,33.8167
Chikungunya,94.51,26.32
Chikungunya,109.17,12.55
Chikungunya,73.02,26.28
Chikungunya,88.26,27.05
Chikungunya,106.99,10.95
Chikungunya,105.77,18.46
Chikungunya,108.32,15.79
Chikungunya,105.74,19.38
Chikungunya,108.14,12.18
Chikungunya,106.86,11.43
Chikungunya,105.48,9.24
Chikungunya,76.13,25.13
Chikungunya,73.5,4.17
Chikungunya,72.79,26.75
Chikungunya,107.48,16.52
Chikungunya,41.023415,43.00154
Chikungunya,108.39,11.75
Chikungunya,108.5,11.22
Chikungunya,107.19,11.8
Chikungunya,107.12,16.81
Chikungunya,123.95,0.66
Chikungunya,77.27,27.25
Chikungunya,124.86,1.53
Chikungunya,79.33,13.27
Chikungunya,79.53,29.23
Chikungunya,109.15,13.8
Chikungunya,108.02,16.27
Chikungunya,106.47,17.92
Chikungunya,109.15,11.92
Chikungunya,107.03,20.78
Chikungunya,108.04,12.67
Chikungunya,98.51,3.1
Chikungunya,109.06,14.65
Chikungunya,93.91,24.66
Chikungunya,106.63,17.46
Chikungunya,108.68,15.41
Chikungunya,76.33,9.49
Chikungunya,74.53,20.55
Chikungunya,73.64,10.07
Chikungunya,105.85,20.57
Chikungunya,74.02,15.4
Chikungunya,80.02,9.67
Chikungunya,100.05,7.5
Chikungunya,100.51,13.68
Chikungunya,100.07,13.08
Chikungunya,99.05,15.08
Chikungunya,104.15,-4.14
Chikungunya,100.01,15.08
Chikungunya,102.06,15.07
Chikungunya,100.06,7.02
Chikungunya,101,13.01
Chikungunya,110.88,-7.06
Chikungunya,105.92,9.58
Chikungunya,84.72,27.31
Chikungunya,115.43,-3.17
Chikungunya,120.13,23.19
Chikungunya,83.29,17.7
Chikungunya,117.27,-8.6
Chikungunya,106.63,-6.2
Chikungunya,80.19,13.04
Chikungunya,69.17,34.53
Chikungunya,112.76,-7.26
Chikungunya,76.4,10.15
Chikungunya,106.24,-6.64
Chikungunya,106.15,-6.07
Chikungunya,99.61,13.14
Chikungunya,105.68,-6.58
Chikungunya,98.2,17.3
Chikungunya,113.61,-7.1
Chikungunya,120.59,-8.51
Chikungunya,77.96,9.58
Chikungunya,98.66,3.58
Chikungunya,76.77,30.73
