disease,decimalLongitude,decimalLatitude
Chikungunya,-175.22,-21.15
Chikungunya,166.46,-22.28
Chikungunya,165.66,-21.3
Chikungunya,-149.83,-17.5
Chikungunya,-170.58,-14.27
Chikungunya,-149.32,-17.72
Chikungunya,168.32,-17.74
Chikungunya,-151.44,-16.8
Chikungunya,167.21,-15.51
Chikungunya,166.2,-21.61
Chikungunya,-171.63,-13.88
Chikungunya,-171.85,-9.2
Chikungunya,-159.77,-21.23
Chikungunya,172.93,1.35
Chikungunya,-179.98,-16.84
Chikungunya,178.81,-17.69
Chikungunya,178.43,-18.13
Chikungunya,-172.43,-13.66
Chikungunya,160.07,-11.56
Chikungunya,145.72,15.14
Chikungunya,168.16,-16.25
Chikungunya,177.42,-17.8
Chikungunya,171.37,7.12
Chikungunya,160.15,-9.58
Chikungunya,164.85,-21.06
Chikungunya,-169.87,-19.06
Chikungunya,166.57,-20.6
Chikungunya,152.16667,-4.16667
Chikungunya,166.9167,-0.5333
Chikungunya,-158.053758,21.634372
Chikungunya,-156.05635,20.677319
Chikungunya,-157.697316,21.32708
Chikungunya,-156.523757,20.940305
Chikungunya,-157.105465,21.166395
Chikungunya,-155.948803,19.628168
Chikungunya,-154.932586,19.395778
Chikungunya,-155.733165,20.202209
Chikungunya,-155.154036,19.853853
Chikungunya,175.734181,-37.478084
Chikungunya,144.79,13.44
Chikungunya,-155.614471,19.123112
Chikungunya,-159.6,22.04
Chikungunya,145.6,-38.6
Chikungunya,144.54,-22.57
Chikungunya,136.77,-12.2
Chikungunya,146.79,-19.28
Chikungunya,146.26,-20.08
Chikungunya,115.75,-31.86
Chikungunya,151,-33.81
Chikungunya,143.14,-20.73
Chikungunya,147.41,-19.58
Chikungunya,148.23,-19.98
Chikungunya,147.84,-20.55
Chikungunya,144.2,-20.84
Chikungunya,143.55,-18.29
Chikungunya,145.4,-20.52
Chikungunya,143.04,-22.39
Chikungunya,141.75,-20.66
Chikungunya,149.89,-22.81
Chikungunya,139.49,-20.72
Chikungunya,139.91,-22.91
Chikungunya,149.17,-21.16
Chikungunya,148.58,-20.4
Chikungunya,151.26,-23.85
Chikungunya,140.51,-20.7
Chikungunya,148.16,-23.53
Chikungunya,149.67,-23.72
Chikungunya,146.89,-20.1
Chikungunya,142.17,-10.68
Chikungunya,142.25,-10.17
Chikungunya,148.02,-23.09
Chikungunya,146.02,-18.27
Chikungunya,148.23334,-28.58333
Chikungunya,146.01666,-17.53333
Chikungunya,144.53,-17.15
Chikungunya,145.36,-16.46
Chikungunya,151.95,-25
Chikungunya,149.18333,-26.58333
Chikungunya,141.06667,-17.66667
Chikungunya,134.73334,-14.73333
Chikungunya,144.25,-23.61667
Chikungunya,153.06667,-26.68333
Chikungunya,150.58333,-29.53333
Chikungunya,153.5,-28.5
Chikungunya,145.25,-15.46667
Chikungunya,149.05,-32.71667
Chikungunya,148.5,-32.38334
Chikungunya,151.4333,-33.28333
Chikungunya,131.39999,-13.46667
Chikungunya,145.95,-30.08333
Chikungunya,151.12257,-25.3706
Chikungunya,153.02427,-27.47099
Chikungunya,150.39,-23.64
Chikungunya,145.10001,-17.38333
Chikungunya,150.5,-24.4
Chikungunya,151.12,-24.86
Chikungunya,152.07,-26.19
Chikungunya,146.23,-26.4
Chikungunya,138.12,-19.91
Chikungunya,149.07,-23.57
Chikungunya,150.74,-23.12
Chikungunya,145.72,-16.81
Chikungunya,145.47,-24.42
Chikungunya,149.79,-25.64
Chikungunya,147.63,-22.82
Chikungunya,136.45,-13.97
Chikungunya,150.62,-26.73
Chikungunya,134.23,-19.55
Chikungunya,145.28,-23.55
Chikungunya,146.63,-23.65
Chikungunya,151.6,-25.62
