disease,decimalLongitude,decimalLatitude
Dengue,26.38,-12.17
Dengue,-16.23,12.8
Dengue,37.22,19.62
Dengue,29.9,-0.18
Dengue,34.2,0.3
Dengue,34.78,0.37
Dengue,18.91,5.64
Dengue,-12.26,12.66
Dengue,34.73,-0.09
Dengue,34.89,1.09
Dengue,17.65,5.27
Dengue,21.2,5.05
Dengue,-12.72,14.18
Dengue,30.17,0.82
Dengue,46.85,-16.34
Dengue,-15.56,12.7
Dengue,13.6,7.86
Dengue,15.03,12.08
Dengue,47.29,-11.57
Dengue,13.17,3.98
Dengue,-15.69,16.2
Dengue,49.13,-12.91
Dengue,11.58,1.6
Dengue,-15.88,14.86
Dengue,9.7,4.05
Dengue,-16.22,15.62
Dengue,14.29,6.52
Dengue,-16.49,16.02
Dengue,11.22,4.75
Dengue,-13.68,13.77
Dengue,9.45,0.39
Dengue,11.98,-1.65
Dengue,-12.55,13.02
Dengue,-13.11,13.21
Dengue,-11.75,12.83
Dengue,43.45,-11.83
Dengue,-17.47,14.75
Dengue,3.36,7.15
Dengue,43.28,-11.4
Dengue,13.92,10.97
Dengue,13.51,9.4
Dengue,14.23,10.25
Dengue,35.61,0.64
Dengue,40.11,-3.22
Dengue,-15.33,15.72
Dengue,-15.92,13.8
Dengue,-16.44,14.64
Dengue,13.58,7.33
Dengue,14.55,5.89
Dengue,11.98,2.93
Dengue,11.52,3.87
Dengue,-14.87,15.28
Dengue,9.9,5.3
Dengue,14.36,4.43
Dengue,-9.3,10.38
Dengue,-12.3,12.08
Dengue,-8.2,6.91
Dengue,-5.93,6.31
Dengue,-6.45,6.87
Dengue,-13.03,10.9
Dengue,-5.66,5.83
Dengue,-12.28,11.31
Dengue,-12.02,11.72
Dengue,-12.25,10.7
Dengue,-7.25,6.66
Dengue,-11.11,10.75
Dengue,-12.85,10.06
Dengue,-10.73,10.03
Dengue,-9.01,9.26
Dengue,-13.2,11.75
Dengue,-2.7,10.53
Dengue,-1.81,9.07
Dengue,-0.85,10.79
Dengue,-5.03,7.69
Dengue,-1.98,10.87
Dengue,-3.45,10.13
Dengue,-14.28,15.28
Dengue,7.72,11.08
Dengue,-4.98,8.18
Dengue,-15.58,14.13
Dengue,-14.98,14.48
Dengue,-14.82,13.98
Dengue,-10.04,5.88
Dengue,-7.45,5.86
Dengue,44.41,-12.25
Dengue,43.16,11.55
Dengue,27.55,-25.98
Dengue,32.42,-28.38
Dengue,30.16,-23.83
Dengue,32.1,-28
Dengue,30.43,-30.77
Dengue,31.6,-24.98
Dengue,7.48,5.53
Dengue,3.63,8.13
Dengue,18.55,4.38
Dengue,-4,7.09
Dengue,-4.3,11.2
Dengue,8.89,9.93
Dengue,0.37,11.73
Dengue,-4.34,7.45
Dengue,27.0163,-32.60019
Dengue,-14.65,13.37
Dengue,-14.18,13.39
Dengue,-16.45,13.4
Dengue,-4.51,8.45
Dengue,-5.25,6.55
Dengue,-0.17835,5.64539
Dengue,-4.16,12.22
Dengue,9.2,12.43
Dengue,39.5,-3.97
Dengue,-3.61,12.81
Dengue,37.53,-2.54
Dengue,36.85,-1.29
Dengue,-16.97,14.42
Dengue,-12.3,9.33
Dengue,-12.08,7.77
Dengue,31.15,-0.4
Dengue,-13.07,8.7
Dengue,-10.38,8.34
Dengue,-10.97,7.67
Dengue,31.73,-0.34
Dengue,32.58,0.32
Dengue,-11.72,9.69
Dengue,-11.7,7.35
Dengue,-11.83,8.76
Dengue,13.23,-8.81
Dengue,30.58,-3.62
Dengue,35.74,-6.18
Dengue,38.63,-5.1
Dengue,-2.75,11.62
Dengue,39.1,-5.07
Dengue,31.67,-21.05
Dengue,-3.15,12.98
Dengue,3.9,7.41
Dengue,9.44,4.64
Dengue,-4.82,5.88
Dengue,2.44,6.36
Dengue,1.05,6.01
Dengue,30.96667,-29.98333
Dengue,38.85,-5.77
Dengue,3.03254,6.7338
Dengue,31.33,-22.45
Dengue,18.48,5.13
Dengue,44.67,1.65
Dengue,11.84,-4.79
Dengue,46.98,-25.02
Dengue,15.31,-4.31
Dengue,36.3,-8.97
Dengue,47.25057,-19.4827
Dengue,39.86,-3.63
Dengue,45.01,10.43
Dengue,37.35,-0.67
Dengue,38.44,-3.49
Dengue,-4.02,5.32
Dengue,-7.38,9.82
Dengue,39.27,-10.95
Dengue,4.25,8.12
Dengue,3.72,6.87
Dengue,45.18,2.15
Dengue,-1.73,6.73
Dengue,-1.53,12.36
Dengue,32.25,-26.92
Dengue,13.6,-1.63
Dengue,43.66,-23.36
Dengue,-3.55,12.3
Dengue,7.37,6.55
Dengue,6.73259,7.80037
