disease,decimalLongitude,decimalLatitude
Dengue,-105.44281,20.48729
Dengue,-97.01589,32.31169
Dengue,-99.58325,24.82926
Dengue,-120.08333,37.08333
Dengue,-119.58333,36.58334
Dengue,-104.43528,19.60222
Dengue,-91.16944,18.97639
Dengue,-105.09944,20.82361
Dengue,-88.1475,19.12944
Dengue,-90.73444,18.60667
Dengue,-98.37528,22.21389
Dengue,-87.61444,20.07639
Dengue,-88.04528,19.57861
Dengue,-100.01083,21.94222
Dengue,-99.00972,21.98194
Dengue,-95.36667,17.64306
Dengue,-93.21222,18.39556
Dengue,-103.39194,20.72028
Dengue,-95.09306,16.96167
Dengue,-100.14111,18.8575
Dengue,-96.32222,15.83417
Dengue,-101.50611,22.76333
Dengue,-97.92917,17.02583
Dengue,-89.84306,19.74444
Dengue,-100.93694,22.18694
Dengue,-99.52222,26.49861
Dengue,-103.81194,21.68278
Dengue,-100.66361,23.47611
Dengue,-103.76861,19.74667
Dengue,-105.08611,22.74778
Dengue,-91.36278,18.18444
Dengue,-101.93333,21.35583
Dengue,-93.72167,16.695
Dengue,-116.61083,31.86361
Dengue,-98.90083,24.04833
Dengue,-98.44889,20.90222
Dengue,-98.37556,24.05639
Dengue,-92.09167,18.25556
Dengue,-90.05222,20.37389
Dengue,-87.70722,18.71611
Dengue,-102.18806,21.82417
Dengue,-101.19,20.12972
Dengue,-98.49167,21.74444
Dengue,-88.6025,20.96556
Dengue,-99.70833,23.00278
Dengue,-99.48889,18.90889
Dengue,-100.68833,21.76028
Dengue,-100.33,20.60667
Dengue,-100.62722,21.05194
Dengue,-88.21722,20.63083
Dengue,-98.79056,18.52278
Dengue,-103.28278,19.69028
Dengue,-102.71833,21.84611
Dengue,-101.72222,20.43111
Dengue,-92.56389,16.33806
Dengue,-100.24,21.48056
Dengue,-98.96806,21.48333
Dengue,-96.05278,18.12028
Dengue,-96.53472,18.07083
Dengue,-97.18,18.81
Dengue,-98.45,18.9
Dengue,-89.17,20.73
Dengue,-96.96,19.45
Dengue,-103.72889,22.38833
Dengue,-98.94472,22.99583
Dengue,-97.02361,17.95556
Dengue,-99.8025,21.0575
Dengue,-90.72056,19.35472
Dengue,-98.15556,16.61278
Dengue,-99.19583,21.02
Dengue,-103.95389,20.56222
Dengue,-103.26639,22.11417
Dengue,-100.50667,27.02333
Dengue,-100.17444,23.25806
Dengue,-98.09861,24.97111
Dengue,-98.76694,22.5425
Dengue,-97.93056,16.20278
Dengue,-100.95083,23.88194
Dengue,-99.65417,27.40194
Dengue,-88.1575,20.15417
Dengue,-99.35583,23.58528
Dengue,-102.25111,22.28444
Dengue,-88.59167,19.58472
Dengue,-100.50944,20.14944
Dengue,-102.84333,20.66306
Dengue,-100.09806,24.87528
Dengue,-96.26667,16.66944
Dengue,-104.8975,19.3525
Dengue,-100.55111,22.48389
Dengue,-99.85,16.89
Dengue,-88.15,21.15
Dengue,-99.5,17.56
Dengue,-94.25,36.34
Dengue,-89.55,20.4
Dengue,-100.63,17.22
Dengue,-97.77611,17.80472
Dengue,-90.4,20.85917
Dengue,-89.11667,21.2325
Dengue,-88.92139,20.12556
Dengue,-97.73503,24.53389
Dengue,-97.43958,25.24103
Dengue,-97.756,23.75817
Dengue,-107.55789,25.80778
Dengue,-97.4,20.97
Dengue,-61.18,14.75
Dengue,-107.49,24.98
Dengue,-102.34917,20.48611
Dengue,-95.88889,16.01667
Dengue,-96.13778,19.19917
Dengue,-97.05417,20.06056
Dengue,-103.305,20.19667
Dengue,-98.34444,17.62278
Dengue,-93.10417,16.68528
Dengue,-105.24361,20.02722
Dengue,-102.94889,19.29972
Dengue,-99.98917,23.81972
Dengue,-102.71331,20.05692
Dengue,-101.81417,18.96119
Dengue,-102.06686,19.41167
Dengue,-102.46561,21.17275
Dengue,-100.58475,19.2025
Dengue,-102.29828,18.93744
Dengue,-104.30497,19.04881
Dengue,-66.11,18.47
Dengue,-93.21,15.69
Dengue,-80.44,22.15
Dengue,-88.25778,18.565
Dengue,-101.26944,20.84444
Dengue,-108.61292,26.40992
Dengue,-105.21325,21.81442
Dengue,-105.45911,22.40408
Dengue,-101.86056,20.91167
Dengue,-108.079,25.45161
Dengue,-106.59775,23.79286
Dengue,-108.98581,25.91958
Dengue,-100.91972,20.52222
Dengue,-86.02,12.31
Dengue,-81.21,19.35
Dengue,-79.98,21.8
Dengue,-77.91,21.38
Dengue,-83.73,9.15
Dengue,-86.51,11.78
Dengue,-83.99,9.61
Dengue,-99.92675,25.38589
Dengue,-100.23028,26.49303
Dengue,-102.97889,25.75833
Dengue,-102.06917,26.98417
Dengue,-101.41806,26.90083
Dengue,-103.61194,25.49889
Dengue,-75.21,20.14
Dengue,-96.38,19.6
Dengue,-108.6,25.53
Dengue,-104.3,32.48
Dengue,-82.46,27.98
Dengue,-107.18,24.25
Dengue,-94.95661,17.88353
Dengue,-94.38744,18.09811
Dengue,-79.27,21.77
Dengue,-110.1,27.45
Dengue,-83.25,10
Dengue,-109.63,26.92
Dengue,-103.73056,19.24306
Dengue,-104.90056,21.23694
Dengue,-104.66972,24.02361
Dengue,-99.89,32.3
Dengue,-102.03,31.87
Dengue,-96.56,33.19
Dengue,-93.9,30.13
Dengue,-98.23,21.34
Dengue,-76.61,39
Dengue,-90.53,14.63
Dengue,-61.07,10.67
Dengue,-96.3,30.67
Dengue,-96.77,32.77
Dengue,-95.5,30.3
Dengue,-95.78,29.53
Dengue,-92.69028,15.28139
Dengue,-83.79152,10.21855
Dengue,-85.44639,10.62889
Dengue,-85.25352,9.99684
Dengue,-83.36242,8.88052
Dengue,-82.95738,8.64398
Dengue,-86.89,12.43
Dengue,-95.33,29.77
Dengue,-106.49,31.77
Dengue,-110.3,31.96
Dengue,-93.755,16.08639
Dengue,-82.8721,9.6298
Dengue,-95.23,16.32
Dengue,-87.21,14.08
Dengue,-77.5,20.73
Dengue,-89.61,14.11
Dengue,-96.7,17.07
Dengue,-61.74,12.05
Dengue,-89.16,13.77
Dengue,-60.75,11.23
Dengue,-110.9,32.22
Dengue,-110.93,31.27
Dengue,-79.78,22.25
Dengue,-99.94933,25.85623
Dengue,-100.4101,25.65743
Dengue,-79.85,8.9
Dengue,-111.94,33.42
Dengue,-106.82,32.36
Dengue,-112.55,34.61
Dengue,-79.38,9.08
Dengue,-79.24,22.33
Dengue,-81.33,28.55
Dengue,-112.49,33.36
Dengue,-86,14.71
Dengue,-110.96,29.07
Dengue,-82.58,27.52
Dengue,-106.40972,23.24139
Dengue,-84.26846,10.00925
Dengue,-101.53,17.65
Dengue,-109.75,31.89
Dengue,-80.27,25.68
Dengue,-102.19,17.96
Dengue,-111.35,32.91
Dengue,-111.79,32.1
Dengue,-105.52806,25.99833
Dengue,-92.9,18
Dengue,-91.82,18.65
Dengue,-100.95,29.2
Dengue,-67.15,18.04
Dengue,-99.03,26.4
Dengue,-90.53,19.85
Dengue,-87.82,15.4
Dengue,-61.63,10.71
Dengue,-76.21,20.23
Dengue,-88.19,17.49
Dengue,-75.77,20.05
Dengue,-92.42,14.73
Dengue,-97.88,22.29
Dengue,-98.63,16.62
Dengue,-97.06,15.86
Dengue,-94.36,16.47
Dengue,-91.86,14.7
Dengue,-80.75,7.83
Dengue,-86.58,13.05
Dengue,-98.64,24.93
Dengue,-99.36,31.49
Dengue,-82.43,8.43
Dengue,-76.76,18.05
Dengue,-104.40667,20.80778
Dengue,-95.07,18.585
Dengue,-97.52417,20.49583
Dengue,-61.67,10.17
Dengue,-69.93,18.52
Dengue,-61.08,10.17
Dengue,-98.57417,26.00944
Dengue,-66.75,18.47
Dengue,-82.64,29.45
Dengue,-102.78361,18.09833
Dengue,-88.79998,16.11752
Dengue,-97.63,26.13
Dengue,-100.42,31.43
Dengue,-99.86,28.52
Dengue,-77.96,35.35
Dengue,-99.28,26.91
Dengue,-98.62,27.88
Dengue,-98.55,28.45
Dengue,-99.1,28.88
Dengue,-74.5,40.67
Dengue,-81.04,29.26
Dengue,-86.36,32.38
Dengue,-80.66,28.67
Dengue,-81.34,29.9
Dengue,-88.54997,18.10075
Dengue,-88.21663,16.96748
Dengue,-88.45,33.63
Dengue,-97.43,32.77
Dengue,-83.58,46.35
Dengue,-98.98111,18.95556
Dengue,-81.65,30.33
Dengue,-88.05,30.69
Dengue,-97.14,31.55
Dengue,-71.25,41.61
Dengue,-99.19111,19.40667
Dengue,-78.65,35.79
Dengue,-83.51,22.52
Dengue,-90.01,29.96
Dengue,-63.13,18.18
Dengue,-94.37,32.55
Dengue,-99.33,27.76
Dengue,-97.85056,21.66111
Dengue,-89.67139,21.05389
Dengue,-78.97,26.68
Dengue,-91.42639,17.47083
Dengue,-71.05653,19.70911
Dengue,-61.57702,16.25972
Dengue,-82.15,29.21
Dengue,-85.78,33.72
Dengue,-65.65,18.27
Dengue,-66.11,17.98
Dengue,-101.12,27.84833
Dengue,-81.88,28.81
Dengue,-97.41,27.77
Dengue,-97.36,31.09
Dengue,-95.15,31.79
Dengue,-90.89,32.32
Dengue,-87.23,30.42
Dengue,-94.66,31.6
Dengue,-81.04,34
Dengue,-82.37,31.21
Dengue,-88.71,32.38
Dengue,-82.41,34.85
Dengue,-64.70649,17.73957
Dengue,-62.21901,16.70599
Dengue,-61.2665,15.37178
Dengue,-106.54139,21.63333
Dengue,-99.34139,25.72917
Dengue,-98.19,26.4
Dengue,-81.33,26.12
Dengue,-80.99,25.49
Dengue,-81.15,28.06
Dengue,-81.81,27.18
Dengue,-97.73,26.93
Dengue,-98.23,27.04
Dengue,-81.17,26.55
Dengue,-80.49,26.15
Dengue,-80.89,27.39
Dengue,-81.8,26.58
Dengue,-111.02417,30.05139
Dengue,-110.31083,24.14222
Dengue,-110.89889,27.91833
Dengue,-100.28389,18.315
Dengue,-99.53917,18.34361
Dengue,-110.85639,30.77806
Dengue,-84.6969,45.5811
Dengue,-109.70806,23.06139
Dengue,-111.36,26.02
Dengue,-100.16222,22.79583
Dengue,-100.9475,25.53944
Dengue,-77.37,18.05
Dengue,-82.27,23.04
Dengue,-93.11,17.51
Dengue,-59.62,13.1
Dengue,-77.34,25.07
Dengue,-96.415,18.62972
Dengue,-61.85,17.12
Dengue,-86.82,21.13
Dengue,-111.66,25.04
Dengue,-69.61111,19.228
Dengue,-87.48667,21.1
Dengue,-84.77,9.99
Dengue,-92.13,29.97
Dengue,-117.02,32.53
Dengue,-109.95,31.33
Dengue,-77.92,18.47
Dengue,-62.73,17.3
Dengue,-70.03,12.52
Dengue,-80.2,27.14
Dengue,-86.94167,20.51667
Dengue,-64.64,18.41
Dengue,-61.23,13.16
Dengue,-112.85,31.86
Dengue,-60.98,14.03
Dengue,-94.81,29.3
Dengue,-100.56,19.69
Dengue,-80.38,27.64
Dengue,-87.54635,33.22566
Dengue,-98.23681,32.19528
Dengue,-91.00159,30.58663
Dengue,-83.83169,34.24659
Dengue,-83.94341,33.53519
Dengue,-80.18105,32.56729
Dengue,-91.61432,37.99727
Dengue,-97.11919,33.33791
Dengue,-99.47444,21.69917
Dengue,-95.78083,17.16278
Dengue,-99.35972,22.55833
Dengue,-98.81417,20.5875
Dengue,-99.48944,24.27278
Dengue,-73.75,18.2
Dengue,-72.47,19.05
Dengue,-74.45,18.49
Dengue,-72.4,18.23
Dengue,-72.09,18.65
Dengue,-89.14,17.07
Dengue,-95.99,36.15
Dengue,-64.75,32.3
Dengue,-95.3,37.55
Dengue,-95.74,37.19
Dengue,-96.24,37.45
Dengue,-75.65,37.78
Dengue,-88.85,40.49
Dengue,-90.8,31.18
Dengue,-82.04,39.33
Dengue,-78.28,37.84
Dengue,-77.47,38.75
Dengue,-78.89,37.79
Dengue,-78.88,38.58
Dengue,-81.23,41.69
Dengue,-100.87,26.12
Dengue,-88.98,31.18
Dengue,-101.49,36.74
Dengue,-99.83,29.84
Dengue,-90.29,34.26
Dengue,-90.45,31.54
Dengue,-90.1,31.16
Dengue,-100.41,32.74
Dengue,-84.51,38.04
Dengue,-88.9,34.78
Dengue,-99.69,35.69
Dengue,-99,35.64
Dengue,-80.08,26.46
Dengue,-104.81,40.09
Dengue,-91.2,39.99
Dengue,-90.03,32.64
Dengue,-101.89,35.4
Dengue,-99.75,36.22
Dengue,-89.58,30.78
Dengue,-89.94,34.66
Dengue,-90.3,33.55
Dengue,-89.25,33.35
Dengue,-99.66,36.79
Dengue,-85.49,32.61
Dengue,-97.6,30.65
Dengue,-78.45,37.23
Dengue,-84.16,39.43
Dengue,-80.78,41.01
Dengue,-78.93,36.77
Dengue,-79.81,37.56
Dengue,-77.09,37.71
Dengue,-83.8,35.62
Dengue,-78.36,36.68
Dengue,-80.71,37.06
Dengue,-82.18,36.61
Dengue,-75.92,37.38
Dengue,-79.88,36.99
Dengue,-88.97,39.86
Dengue,-79.19,37.4
Dengue,-117.75,34.08879
Dengue,-82.15,41.3
Dengue,-91.25,33.84
Dengue,-78.28,38.42
Dengue,-77.47,38.29
Dengue,-117.24,33.2
Dengue,-118.29,33.78
Dengue,-80.66,26.82
Dengue,-78.7,39.62
Dengue,-77.11,36.73
Dengue,-91.76,33.19
Dengue,-89.66,39.76
Dengue,-92.59,33.17
Dengue,-90.84,34.44
Dengue,-121.25,38.08333
Dengue,-97.64,38.78
Dengue,-88.92,38.65
Dengue,-121.6,37.09
Dengue,-122.42,37.66
Dengue,-96.66,34.33
Dengue,-83.74,34.92
Dengue,-87.43,39.09
Dengue,-85.76,38.68
Dengue,-95.37,34.42
Dengue,-95.25,34.88
Dengue,-77.81,39.6
Dengue,-88.56,37.42
Dengue,-76.57,38.55
Dengue,-80.55,37.56
Dengue,-73.82,40.71
Dengue,-97.31,34.71
Dengue,-86.85,39.31
Dengue,-88.18,38.09
Dengue,-97.14,36.82
Dengue,-98.53,36.31
Dengue,-96.68,40.78
Dengue,-89.37,38.08
Dengue,-74.31,41.4
Dengue,-97.98,35.54
Dengue,-74.81,39.16
Dengue,-94.7,34.9
Dengue,-75.16,39.95
Dengue,-98.32,36.73
Dengue,-75.37,38.22
Dengue,-76.25,36.89
Dengue,-81.84,27.9
Dengue,-95.91,36.72
Dengue,-96.95,35.21
Dengue,-84.51,35.65
Dengue,-94.75,35.5
Dengue,-96.25,35.05
Dengue,-96.88,35.71
Dengue,-88.09,38.72
Dengue,-96.7,36.32
Dengue,-94.81,36.84
Dengue,-77.5,37.24
Dengue,-83.11,36.69
Dengue,-92.63,31.95
Dengue,-82.62,36.98
Dengue,-89.63,40.69
Dengue,-98.37,35.18
Dengue,-91.76,32.43
Dengue,-80.8,38.29
Dengue,-92.4,30.73
Dengue,-87.36,31.58
Dengue,-95.38,35.62
Dengue,-87.79,32.25
Dengue,-95.96,35.65
Dengue,-98.98,34.92
