disease,decimalLongitude,decimalLatitude
Dengue,2.75927,41.69374
Dengue,1.72644,41.22143
Dengue,21.29,48.68
Dengue,-0.78,39.45
Dengue,16.91,39.19
Dengue,9.64,44.85
Dengue,10.52,44.61
Dengue,13.62,42.14
Dengue,8.27355,48.84289
Dengue,-0.88,43.19
Dengue,22.17,40.9
Dengue,2.47,43.05
Dengue,23.7,40.27
Dengue,5.45,46.06
Dengue,16.26,47.14
Dengue,5.55,45.29
Dengue,-0.47,44.88
Dengue,1.24,43.3
Dengue,11.97,47.87
Dengue,24.84,41.13
Dengue,4.54,46.66
Dengue,-0.17,40.25
Dengue,5.73,46.78
Dengue,9.39,45.9
Dengue,26.11,44.44
Dengue,9.94,46.32
Dengue,4.37,44.82
Dengue,2.65,44.32
Dengue,-1.52,38.06
Dengue,22.75,41.07
Dengue,16.59,49.12
Dengue,6.43,46.05
Dengue,0.47,44.37
Dengue,5.24,44.73
Dengue,2.91,39.61
Dengue,24.2,41.27
Dengue,13.29,43.15
Dengue,39.17,45.12
Dengue,3.37,43.59
Dengue,11.45,43.17
Dengue,5.2,44.05
Dengue,4.05,43.96
Dengue,11.88,43.52
Dengue,10.64,43.47
Dengue,10.44,44.02
Dengue,27.31,42.45
Dengue,11.98,42.49
Dengue,12.63,43.69
Dengue,12.59,43.11
Dengue,12.05,44.04
Dengue,12.92,42.41
Dengue,7.8,47.99
Dengue,4.12,51.21
Dengue,16.39,39.6
Dengue,8.3,46.12
Dengue,14.43,42.1
Dengue,2.1,49.08
Dengue,8.35,45.55
Dengue,9.77,44.23
Dengue,13.75,42.66
Dengue,8.66,44.84
Dengue,14.92,38.05
Dengue,16.51,38.83
Dengue,14.8,37.51
Dengue,13.86,45.14
Dengue,13.61,37.88
Dengue,2.98,48.62
Dengue,21.97,37.09
Dengue,0.91,41.05
Dengue,17.25,40.55
Dengue,14.68,45.06
Dengue,22.7,37.92
Dengue,15.87,43.85
Dengue,20.35,39.54
Dengue,7.39,45.16
Dengue,14.15,41.2
Dengue,2.07,41.76
Dengue,-0.36,49.09
Dengue,19.4,42.7
Dengue,23.49,41.08
Dengue,15.13,40.42
Dengue,8.97,41.86
Dengue,16.4,40.45
Dengue,16.11,38.24
Dengue,10.34,45.78
