disease,decimalLongitude,decimalLatitude
Dengue,-154.92902,19.39509
Dengue,-175.22,-21.15
Dengue,-149.84,-17.5
Dengue,-170.62,-14.27
Dengue,-149.29,-17.8
Dengue,167.21,-15.51
Dengue,168.32,-17.74
Dengue,166.2,-21.61
Dengue,166.44,-22.23
Dengue,178.81,-17.69
Dengue,172.93,1.35
Dengue,-159.77,-21.23
Dengue,-172.43,-13.66
Dengue,160.07,-11.56
Dengue,178.41,-18.11
Dengue,145.72,15.14
Dengue,168.16,-16.25
Dengue,166.93,-0.52
Dengue,171.37,7.12
Dengue,160.15,-9.58
Dengue,164.89,-21.13
Dengue,165.48,-21.57
Dengue,166.6,-20.45
Dengue,-169.87,-19.06
Dengue,-155.60946,19.04405
Dengue,-155.91955,19.52708
Dengue,-155.63815,20.0407
Dengue,-155.15192,19.85575
Dengue,175.73418,-37.47808
Dengue,144.79,13.44
Dengue,-156.56,20.86
Dengue,-159.6,22.04
Dengue,179.18,-16.58
Dengue,178,-17.8
Dengue,174.9,-36.96
Dengue,-179.97,-16.82
Dengue,177.46,-17.61
Dengue,96.829,-12.174
Dengue,-158,21.44
Dengue,152.75,-10.66667
Dengue,150.8,-2.6
Dengue,146.83333,-2.08333
Dengue,151.75,-3.16667
Dengue,169.8167,-20.2
Dengue,179.2167,-8.5167
Dengue,150,-6
Dengue,152.16667,-4.16667
Dengue,-171.7167,-13.8667
Dengue,-151.47,-16.83
Dengue,-139,-9.76
Dengue,144.54,-22.57
Dengue,144.52,-17.16
Dengue,115.75,-31.86
Dengue,151,-33.81
Dengue,145.74,-16.85
Dengue,148.23,-19.98
Dengue,147.84,-20.55
Dengue,146.15,-18.65
Dengue,143.14,-20.73
Dengue,150.39,-23.64
Dengue,147.41,-19.67
Dengue,143.55,-18.29
Dengue,149.17,-21.16
Dengue,145.4,-20.52
Dengue,148.58,-20.4
Dengue,141.75,-20.66
Dengue,151.26,-23.85
Dengue,140.51,-20.7
Dengue,149.89,-22.81
Dengue,139.49,-20.72
Dengue,143.04,-22.39
Dengue,139.91,-22.91
Dengue,148.16,-23.53
Dengue,148.02,-23.09
Dengue,149.67,-23.72
Dengue,146.89,-20.1
Dengue,142.25,-10.17
Dengue,142.17,-10.68
Dengue,146.8,-19.25
Dengue,146.26,-20.08
Dengue,140.84,-17.49
Dengue,144.2,-20.85
Dengue,148.23334,-28.58333
Dengue,145.36667,-16.45
Dengue,152.35,-24.88
Dengue,146.03,-17.53
Dengue,149.18333,-26.58333
Dengue,134.73334,-14.73333
Dengue,144.25,-23.61667
Dengue,145.21666,-17.33333
Dengue,153.06667,-26.68333
Dengue,153.5,-28.5
Dengue,150.58333,-29.53333
Dengue,145.25,-15.46667
Dengue,152.05,-25.51667
Dengue,149.05,-32.71667
Dengue,148.5,-32.38334
Dengue,151.4333,-33.28333
Dengue,131.39999,-13.46667
Dengue,145.95,-30.08333
Dengue,151.12257,-25.3706
Dengue,153.02427,-27.47099
Dengue,151.12,-24.86
Dengue,149.79,-25.64
Dengue,136.77,-12.2
Dengue,152.07,-26.19
Dengue,146.23,-26.4
Dengue,138.12,-19.91
Dengue,150.74,-23.12
Dengue,134.19,-19.65
Dengue,149.07,-23.57
Dengue,150.62,-26.73
Dengue,145.28,-23.55
Dengue,146.63,-23.65
Dengue,147.63,-22.82
Dengue,150.5,-24.4
Dengue,145.47,-24.42
Dengue,136.45,-13.97
Dengue,117.78333,-22.68333
