disease,decimalLongitude,decimalLatitude
Malaria,45.35,2.03333
Malaria,36.6667,15.1333
Malaria,33,-2.83333
Malaria,31.93333,-25.43333
Malaria,31.58333,-24.98333
Malaria,-14.88333,15.28333
Malaria,23.41667,-20
Malaria,31.03333,-22.88333
Malaria,25.15,-17.8167
Malaria,31.43333,-23.4
Malaria,39.83333,-3.61667
Malaria,36,4
Malaria,35.93333,-11.16667
Malaria,30,-3.33333
Malaria,15.8,-17.78333
Malaria,14.35,-17.4333
Malaria,-16.38333,13.68333
Malaria,34.68333,-0.06667
Malaria,34,0
Malaria,24.5,-18.16667
Malaria,-1.33333,15.8
Malaria,1.33333,18.41667
Malaria,-0.33333,16.91667
Malaria,35,8
Malaria,-2.96667,15
Malaria,0.61667,18.06667
Malaria,47.33333,-19.08333
Malaria,31.96667,-28.56667
Malaria,35.73333,-4.13333
Malaria,-4.3,11.18333
Malaria,35.15,-3.33333
Malaria,29.2933,-3.1875
Malaria,39.2,-6.16667
Malaria,31.83333,-25.93333
Malaria,34.75,-12.75
Malaria,34.98333,-13.46667
Malaria,35.13333,-13
Malaria,31.96667,-28.03333
Malaria,-11.55,13.75
Malaria,-9.5,12.91667
Malaria,-7.63333,12.91667
Malaria,-7.28333,13.86667
Malaria,-1.75,12.41667
Malaria,-7.75,14.33333
Malaria,-10.75,13.45
Malaria,-8.08333,13.91667
Malaria,-9.75,14.55
Malaria,-9.13333,15.06667
Malaria,-10.91667,14.46667
Malaria,-10.58333,15.06667
Malaria,0.21667,11.81667
Malaria,-16.5,16.01667
Malaria,38.55,-4.3
Malaria,35.46667,-18.28333
Malaria,33.5,-16.16667
Malaria,32.33333,-26.53333
Malaria,-5.03333,12.71667
Malaria,-5.58333,12.21667
Malaria,-13.66667,15.65
Malaria,-14.23333,16.08333
Malaria,-8.21667,12.5
Malaria,-15.03333,16.58333
Malaria,-14.7,16.01667
Malaria,-8.33333,13.36667
Malaria,57.5,-20.25
Malaria,-14.25,13.38333
Malaria,30.33333,-23.83333
Malaria,40,-3.1
Malaria,37.66667,-3.38333
Malaria,39.63333,-1.25
Malaria,37.68333,-0.5
Malaria,40.2,9.2
Malaria,-22.8833,16.1333
Malaria,-8.28333,11.7
Malaria,41.25,11.5
Malaria,-6.45,13.3
Malaria,-4.33333,13.86667
Malaria,30.33333,-15.66667
Malaria,34.4,15.83333
Malaria,-16.25,14.26667
Malaria,-15.56667,13.56667
Malaria,-15.91667,13.91667
Malaria,39.25,8.41667
Malaria,40.53333,10.46667
Malaria,30.21667,19.91667
Malaria,7,13.73333
Malaria,8.33333,15.05
Malaria,8.81667,14.91667
Malaria,8,13.66667
Malaria,8,17
Malaria,2.08333,13.53333
Malaria,5.76667,5.91667
Malaria,31.68333,-26.68333
Malaria,-14.93333,13.58333
Malaria,39.08333,-5.11667
Malaria,-16.75,13.33333
Malaria,7.23333,10.38333
Malaria,7.65,11.8
Malaria,-16,13.33333
Malaria,23.41667,-25.41667
Malaria,26,-18.63333
Malaria,23.9333,-25.65
Malaria,35,-21
Malaria,26.01667,-20.08333
Malaria,26.6,-18.05
Malaria,31.01667,-26.75
Malaria,32.15,-21.03333
Malaria,31.66667,-21.41667
Malaria,36.33333,8
Malaria,38.66667,7.61667
Malaria,37.58333,8.21667
Malaria,37,9.1
Malaria,38.2,10.1
Malaria,36.41667,7.45
Malaria,9.41667,0.5
Malaria,31.21667,-20.71667
Malaria,32.7833,-19.1833
Malaria,27.86667,-19.08333
Malaria,42.1,9.3
Malaria,37.93333,6.63333
Malaria,30.5,1.05
Malaria,37.7,6.15
Malaria,36.31667,8.48333
Malaria,34.58333,8.25
Malaria,38.06667,-4.38333
Malaria,35.83333,-3.5
Malaria,-0.03333,14.05
Malaria,33.25,14.91667
Malaria,28.8333,-16.05
Malaria,1.8,12.15
Malaria,1.03333,12.46667
Malaria,0.46667,12.25
Malaria,32.5,0.16667
Malaria,35.63333,3.1
Malaria,14.98333,12.16667
Malaria,13.98333,9.75
Malaria,33.5,14.5
Malaria,35.98333,14.98333
Malaria,46.83333,-16.95
Malaria,30.95,-16.33333
