disease,decimalLongitude,decimalLatitude
Malaria,-93.21222,18.39556
Malaria,-90.73444,18.60667
Malaria,-90.72056,19.35472
Malaria,-108.19514,25.21714
Malaria,-77.96,7.62
Malaria,-105.28533,21.62778
Malaria,-105.07872,19.53919
Malaria,-107.69339,25.09372
Malaria,-105.61244,22.01186
Malaria,-102.34631,17.98889
Malaria,-102.40228,19.07358
Malaria,-87.73511,18.77089
Malaria,-89.10589,18.52186
Malaria,-97.79369,22.969
Malaria,-98.20778,23.7675
Malaria,-90.53167,19.84222
Malaria,-91.83083,18.64333
Malaria,-90.61514,16.44992
Malaria,-92.71972,15.15722
Malaria,-99.22472,16.76694
Malaria,-101.64139,17.69528
Malaria,-92.02,17.49861
Malaria,-94.4825,16.35083
Malaria,-88.146,21.596
Malaria,-88.16917,19.14306
Malaria,-88.93331,16.20085
Malaria,-88.41663,17.51745
Malaria,-92.2825,14.59056
Malaria,-93.39806,15.67
Malaria,-104.25972,19.06
Malaria,-99.12194,24.075
Malaria,-109.70806,23.06139
Malaria,-100.00032,17.66741
Malaria,-86.83361,21.16111
Malaria,-77.41829,25.05483
Malaria,-79.96225,9.15549
Malaria,-69.22473,19.00772
Malaria,-71.05653,19.70911
Malaria,-72.78309,19.93842
Malaria,-70.37445,19.13738
Malaria,-78.33763,18.31596
Malaria,-81.29964,19.29593
Malaria,-89.06814,17.15798
Malaria,-77.35497,17.85212
Malaria,-87.93389,15.85576
Malaria,-77.15886,18.32231
Malaria,-79.44404,9.04513
Malaria,-76.25255,17.91924
Malaria,-82.24743,9.36282
Malaria,-86.76093,12.19567
Malaria,-89.71505,14.99174
Malaria,-95.66111,18.61167
Malaria,-91.906,14.30017
Malaria,-87.45733,15.73977
Malaria,-88.92835,15.36123
Malaria,-103.28373,18.68402
Malaria,-95.03355,17.43409
Malaria,-87.93167,15.37669
Malaria,-82.1913,8.91085
Malaria,-79.65132,9.55234
Malaria,-84.73787,9.96329
Malaria,-97.86861,22.25528
Malaria,-96.9275,19.54
Malaria,-96.13778,19.19917
Malaria,-105.10044,22.86714
Malaria,-106.41528,23.23611
Malaria,-76.33301,25.28371
Malaria,-99.39222,21.95778
Malaria,-92.95278,17.54806
Malaria,-96.72667,20.16056
Malaria,-93.39167,17.82917
Malaria,-95.94944,18.23167
