disease,decimalLongitude,decimalLatitude
Malaria,11.0167,46.8667
Malaria,7.11444,48.17167
Malaria,1.00991,52.37067
Malaria,0.37876,50.93582
Malaria,-3.07412,53.59075
Malaria,4.65763,52.58119
Malaria,6.75178,52.34404
Malaria,4.44519,51.5479
Malaria,-3.01691,53.05565
Malaria,-2.8002,51.45774
Malaria,-3.47417,50.67793
Malaria,-2.50066,50.92697
Malaria,37.01,56.13
Malaria,44.42,53.03
Malaria,47.35,45.43
Malaria,46.42,47.33
Malaria,45.05,48.3
Malaria,5.14943,52.07818
Malaria,5.87529,51.44749
Malaria,0.28126,52.31017
Malaria,11.6,47.85
Malaria,-0.4,51.95
Malaria,22.7,39.53333
Malaria,0.38944,45.82083
Malaria,106.78333,-6.58333
Malaria,98.67657,18.49346
Malaria,98.93293,19.38666
Malaria,99.24081,18.92017
Malaria,102.07513,13.67163
Malaria,100.54608,13.75178
Malaria,100.58727,18.41028
Malaria,101,5
Malaria,101.683,3.133
Malaria,103.42348,15.10387
Malaria,100.3667,-0.3167
Malaria,43.28333,13.75
Malaria,42.75,17.25
Malaria,45.63333,13.33333
Malaria,45,13
Malaria,109.6,19.6
Malaria,109.6,18.3
Malaria,95.29,27.2
Malaria,99.89914,18.96605
Malaria,101.91523,14.20452
Malaria,102.26696,16.7267
Malaria,100.75383,18.95993
Malaria,98.62446,8.58293
Malaria,110.333,1.4167
Malaria,112.65,-7.88
Malaria,112.58,-7.28
Malaria,122.188,7.024
Malaria,95.3,5.8
Malaria,71.488,33.998
Malaria,99.86834,18.51434
Malaria,75.9167,17.6833
Malaria,108.83,13.13
Malaria,104.8,19.03
Malaria,106.93,11.72
Malaria,107.33,11.5
Malaria,107.3,11.99
Malaria,107.9,11.09
Malaria,109.08,12.37
Malaria,99.94543,15.59635
Malaria,102.21261,12.95961
Malaria,97.96386,18.55778
Malaria,101.80659,5.94563
Malaria,101.36853,6.2595
Malaria,145.3833,-6.08333
Malaria,142.91667,-5.83333
Malaria,148.25,-8.75
Malaria,143.58333,-3.58333
Malaria,145.5,-5.45
Malaria,145.06667,-6.98333
Malaria,145.91667,-6.33333
Malaria,143.66667,-5.5
Malaria,142.52,-5.38
Malaria,128.4167,2.3333
Malaria,150.25,-9.33333
Malaria,146.18333,-8.18333
Malaria,146.5833,-8.6333
Malaria,140.28329,-6.08333
Malaria,145.13,-4.55
Malaria,130.43,-3.17
Malaria,144.06667,-4.06667
Malaria,81.9,18.4
Malaria,83,19.75
Malaria,82.7,18.8
Malaria,85.5,21.5
Malaria,85.1,20.85
Malaria,84,22.1
Malaria,145.78329,-5.0833
Malaria,137.89999,-1.48
Malaria,143.05,-3.63333
Malaria,150.25,-10.3167
Malaria,141.53329,-7.1333
Malaria,146.76669,-6.58333
Malaria,127.23071,38.03663
Malaria,117.10602,23.40497
Malaria,119.14015,33.50004
Malaria,105.08015,27.80004
Malaria,122.99015,39.70003
Malaria,123.43015,41.79003
Malaria,121.50015,39.77003
Malaria,123.41015,42.50003
Malaria,110.75015,19.62004
Malaria,99.96629,9.52107
Malaria,99.76886,8.14009
Malaria,98.08935,18.11649
Malaria,95.84721,27.32901
Malaria,114.1,22.4
Malaria,120.6,16.41667
Malaria,72.55,35.05
Malaria,105.48553,18.63928
Malaria,107.29928,21.3775
Malaria,104.60181,20.83478
Malaria,109.15,19
Malaria,100.8,24.4
Malaria,106.46667,22.25
Malaria,102,23.5
Malaria,101.2,21.9
Malaria,112.7,22
Malaria,107.9,22.3
Malaria,120.7,24.2
Malaria,120.45,22.65
Malaria,114.8,22.9
Malaria,104.76667,18.2
Malaria,104.1,22.51667
Malaria,106.9457,13.7495
Malaria,101.98333,18.55
Malaria,104.9,22.51667
Malaria,106.05,11.31667
Malaria,107.91667,14.2
Malaria,107.85,13.73333
Malaria,102.81667,12.85
Malaria,105.6,20.23333
Malaria,106.38333,18.08333
Malaria,105.41667,19.31667
Malaria,104.03333,20.88333
Malaria,98.1,24.2
Malaria,105.1667,20.6333
Malaria,100.85772,14.66424
Malaria,100.95415,14.01007
Malaria,101.50725,14.60882
Malaria,121.06782,14.19469
Malaria,108.98333,13.61667
Malaria,99.4,14.1
Malaria,99.03389,14.71389
Malaria,100.1,23.95
Malaria,105.66667,20.91667
Malaria,144.96671,-7.5833
Malaria,147,-8.33333
Malaria,140.7,-2.5333
Malaria,144.25,-5.83333
Malaria,147.85001,-6.6
Malaria,136.8667,-4.4
Malaria,146.64999,-7.2
Malaria,35.64555,32.86556
Malaria,129.24128,35.81914
Malaria,127.02346,36.95558
Malaria,127.78336,37.87008
Malaria,127.19567,37.4765
Malaria,127.65186,36.56111
Malaria,128.31144,36.53678
Malaria,128.84192,37.72811
Malaria,118.78015,32.06004
Malaria,118.21015,33.46004
Malaria,118.49015,33.01004
Malaria,120.29015,31.58004
Malaria,129.226,35.23981
Malaria,106.72015,26.58004
Malaria,129.03996,37.16428
Malaria,128.24349,37.14442
Malaria,126.65192,37.71319
Malaria,126.34784,36.51729
Malaria,126.93028,35.21139
Malaria,129.07467,36.40253
Malaria,128.07839,35.07036
Malaria,128.41408,35.99608
Malaria,126.18056,33.31278
Malaria,126.5975,34.57417
Malaria,126.79472,35.97861
Malaria,128.59278,38.14167
Malaria,111.12015,33.85004
Malaria,103.50015,30.20004
Malaria,110.30015,33.75004
Malaria,102.68015,23.22004
Malaria,99.87015,26.47004
Malaria,112.30015,33.70004
Malaria,107.07015,22.22004
Malaria,118.12015,30.17004
Malaria,118.98015,32.68004
Malaria,117.24015,29.73004
Malaria,117.28015,31.85004
Malaria,117.28015,32.85004
Malaria,101.08015,22.77004
Malaria,106.76015,22.66004
Malaria,134.02015,46.80003
Malaria,119.39015,30.30004
Malaria,101.58015,21.47004
Malaria,101.73015,26.55004
Malaria,102.27015,27.90004
Malaria,102.76015,27.07004
Malaria,105.43015,31.58004
Malaria,103.05015,32.59004
Malaria,103.13015,28.33004
Malaria,103.52015,29.58004
Malaria,124.73015,52.33003
Malaria,121.09015,31.45004
Malaria,107.97015,21.55004
Malaria,115.97015,40.47003
Malaria,117.12015,40.13003
Malaria,114.12015,32.10004
Malaria,113.40015,32.36004
Malaria,111.47015,33.29004
Malaria,105.89015,34.58003
Malaria,105.18015,37.52003
Malaria,106.27015,38.47003
Malaria,121.17015,31.92004
Malaria,119.58015,31.75004
Malaria,110.28015,25.28004
Malaria,102.08925,12.47051
Malaria,107.07015,30.97004
Malaria,117.83015,36.88003
Malaria,117.00015,36.67003
Malaria,119.15015,36.60003
Malaria,119.46015,35.43003
Malaria,120.17015,30.26004
Malaria,121.16015,36.78003
Malaria,117.19015,34.27004
Malaria,122.05015,37.19003
Malaria,118.34015,35.06003
Malaria,118.48015,36.70003
Malaria,119.95015,36.78003
Malaria,121.40015,37.53003
Malaria,119.98015,35.88003
Malaria,116.77015,36.25003
Malaria,122.82015,45.62003
Malaria,111.27015,24.83004
Malaria,116.39015,39.93003
Malaria,112.15015,32.04004
Malaria,107.12015,23.61004
Malaria,106.46015,23.91004
Malaria,110.67015,25.62004
Malaria,111.19015,30.47004
Malaria,109.97015,22.28004
Malaria,107.73015,24.68004
Malaria,110.60015,30.20004
Malaria,111.51015,32.54004
Malaria,113.90015,30.92004
Malaria,110.58015,31.02004
Malaria,113.82015,31.62004
Malaria,110.81015,32.81004
Malaria,120.10015,30.87004
Malaria,113.25015,23.12004
Malaria,108.32015,22.82004
Malaria,115.88015,28.68004
Malaria,119.99015,27.75004
Malaria,108.73015,26.92004
Malaria,122.10015,30.02004
Malaria,97.23334,24.26653
Malaria,103.88015,30.80004
Malaria,102.72015,25.04004
Malaria,118.17015,26.65004
Malaria,113.65015,34.76003
Malaria,103.25015,23.71004
Malaria,83.30015,43.52003
Malaria,102.58015,26.65004
Malaria,110.02015,18.52004
Malaria,104.23015,23.37004
Malaria,107.30015,34.14004
Malaria,113.57015,22.28004
Malaria,116.58015,35.41003
Malaria,74.267,31.485
Malaria,48.66667,31.33333
Malaria,75.99,19.52
Malaria,76.01,20.2
Malaria,84.3,20.3
Malaria,106.75,20.72
Malaria,100.9323,12.90401
Malaria,101.66217,12.67265
Malaria,144.27161,-7.4571
Malaria,79,11
Malaria,75.8667,34.35
Malaria,147.1361,-9.46638
Malaria,34.7997,30.81552
Malaria,67,30.2
Malaria,72.48,30.98
Malaria,75.27,20.25
Malaria,73.83,31.749
Malaria,74.47,32.67
Malaria,74.19,32.09
Malaria,74.52,31.04
Malaria,73.799,32.865
Malaria,73.06,32.59
Malaria,73.316,33.244
Malaria,73.06,33.72
Malaria,72.68,32.938
Malaria,72.02,30.34
Malaria,71.33,29.96
Malaria,71.649,29.432
Malaria,72.69,30.54
Malaria,73.46,30.812
Malaria,73.975,30.964
Malaria,72.467,34.117
Malaria,78.12,9.93
Malaria,73.05,31.4167
Malaria,71.53,32.58
Malaria,116.31633,22.96438
Malaria,116.10121,23.46915
Malaria,115.40588,23.82241
Malaria,116.70364,23.89996
Malaria,141.1167,-5.98333
Malaria,98.87479,16.78081
Malaria,143.58333,-6.16667
Malaria,85.03333,27.7
Malaria,101.25,3.35
Malaria,144.91667,-6
Malaria,102.13,1.47
Malaria,108.2,-7.333
Malaria,140.3333,-8.4667
Malaria,47.833,30.51388
