disease,decimalLongitude,decimalLatitude
Malaria,167.10001,-15.4
Malaria,168.51669,-17.66667
Malaria,152.75,-10.66667
Malaria,146.83333,-2.08333
Malaria,151.75,-3.16667
Malaria,160.2,-9.5333
Malaria,-155.08954,19.71742
Malaria,-155.91951,19.52722
Malaria,-157.88681,21.5864
Malaria,-155.63796,20.04061
Malaria,166.45,-22.26667
Malaria,-149.45,-17.5
Malaria,178,-18
Malaria,165.6167,-21.28333
Malaria,168.25,-16.68333
Malaria,166.9167,-0.55
Malaria,167.95,-29.03333
Malaria,-139,-9.76
Malaria,152.16667,-4.16667
Malaria,174.76666,-36.86666
Malaria,142.53334,-11.73333
Malaria,145.14999,-15.41667
Malaria,146.06667,-17.86667
Malaria,145.31667,-16.25
Malaria,145.3667,-25.4167
Malaria,146.28,-18.73333
Malaria,142.46666,-10.8
Malaria,141.88333,-12.68333
Malaria,136.753,-12.216
Malaria,141.73334,-13.36667
Malaria,145.73334,-16.88333
Malaria,146,-17.33333
Malaria,134.73334,-14.73333
Malaria,131,-12.98333
Malaria,130.85,-12.384
Malaria,150.63333,-26.73333
Malaria,143.28334,-12.73333
Malaria,147.01666,-41.36666
Malaria,144.93333,-17.35
Malaria,148.16667,-23.51667
Malaria,152.88333,-27.4
Malaria,117.78333,-22.68333
Malaria,144.75278,-36.13611
Malaria,151.26666,-23.85
Malaria,150.73331,-29.2
Malaria,133.86667,-23.7
Malaria,113.65861,-24.89167
Malaria,128.73334,-15.78333
Malaria,132.8667,-12.58333
Malaria,141.75,-15.46667
Malaria,148.78334,-26.58333
Malaria,123.63333,-17.31667
Malaria,128.10001,-15.46667
Malaria,127.66639,-18.22861
Malaria,143.45,-26.08333
Malaria,145.0833,-28.55
Malaria,144.31667,-27.51667
Malaria,145.48334,-17.26667
Malaria,141.06667,-17.66667
Malaria,149.26669,-31.25
Malaria,151.55,-26.83333
Malaria,150.45,-27.28333
Malaria,141.75,-20.66667
Malaria,145.28334,-23.55
Malaria,147.43333,-21.26667
Malaria,152.93333,-29.68333
Malaria,144.5,-22.15
Malaria,152.11667,-28.03333
Malaria,142.26666,-10.18333
Malaria,142.06667,-34.16667
Malaria,146.81667,-19.26667
Malaria,147.73331,-31.617
Malaria,148.58333,-20.4
Malaria,153.43333,-28.98333
Malaria,150.48334,-34.73333
Malaria,147.39999,-19.56667
Malaria,145.25,-35.68333
Malaria,145.35699,-36.389
Malaria,147.96666,-32.03333
Malaria,151.01666,-34.08333
Malaria,132.26669,-14.46667
Malaria,148.41667,-21.16667
Malaria,139.48334,-20.73333
Malaria,145.68333,-28.06667
Malaria,139.85001,-21.35
Malaria,144.43333,-24.26667
Malaria,144.2,-20.85
Malaria,146.25,-24.88333
Malaria,146.25,-26.4
Malaria,147.46666,-26.48333
Malaria,141.45,-31.96667
Malaria,151.16667,-32.56667
Malaria,115.85,-31.95
Malaria,153.16525,-28.01688
Malaria,149.81667,-35.65
Malaria,151.3,-33.61666
Malaria,145.95,-30.08333
Malaria,150.31667,-33.71667
Malaria,150.93333,-31.08333
Malaria,147.78334,-34.01667
Malaria,151.11667,-25.36667
Malaria,148.26666,-36.45
Malaria,153.5,-28.5
