disease,decimalLongitude,decimalLatitude
WNV,26.38,-12.17
WNV,-16.23,12.8
WNV,37.22,19.62
WNV,34.2,0.3
WNV,34.78,0.37
WNV,-12.24,12.62
WNV,18.91,5.64
WNV,34.73,-0.09
WNV,34.89,1.09
WNV,17.65,5.27
WNV,21.2,5.05
WNV,30.37,0.57
WNV,-12.72,14.18
WNV,-17.45,14.75
WNV,-13.11,13.21
WNV,29.9,-0.18
WNV,47.1,-16.12
WNV,-12.55,13.01
WNV,-16.99,14.92
WNV,15.03,12.08
WNV,13.17,3.98
WNV,45.11,-12.72
WNV,12.72,-0.83
WNV,-16.5,16.03
WNV,13.82,8.25
WNV,14.33,10.58
WNV,49.13,-12.91
WNV,-15.88,14.86
WNV,44.66,-20.07
WNV,-15.75,16.18
WNV,11.5,3.85
WNV,9.7,4.05
WNV,44.2,-23.07
WNV,10.52,5.14
WNV,-16.25,15.62
WNV,14.29,6.52
WNV,-15.55,14.11
WNV,-13.68,13.77
WNV,-11.75,12.83
WNV,43.45,-11.83
WNV,43.28,-11.4
WNV,13.92,10.97
WNV,35.61,0.64
WNV,32.47,0.07
WNV,-15.33,15.72
WNV,12.62,6.47
WNV,13.58,7.33
WNV,11.15,2.92
WNV,13.4,9.3
WNV,11.49,6.09
WNV,-14.87,15.28
WNV,7.03,5.78
WNV,9.9,5.3
WNV,9.23,4.16
WNV,-9.3,10.38
WNV,-12.3,12.08
WNV,-8.2,6.91
WNV,-5.93,6.31
WNV,-6.45,6.87
WNV,-13.03,10.9
WNV,-12.63,9.86
WNV,-5.66,5.83
WNV,-12.28,11.31
WNV,-12.02,11.72
WNV,-12.25,10.7
WNV,-7.25,6.66
WNV,-11.11,10.75
WNV,-10.73,10.03
WNV,-9.01,9.26
WNV,-13.2,11.75
WNV,-2.7,10.53
WNV,-1.81,9.07
WNV,-0.85,10.79
WNV,-5.03,7.69
WNV,-1.98,10.87
WNV,-3.45,10.13
WNV,-14.28,15.28
WNV,-4.04,5.32
WNV,-4.98,8.18
WNV,7.72,11.08
WNV,-14.98,14.48
WNV,-14.82,13.98
WNV,-10.04,5.88
WNV,-7.45,5.86
WNV,-3.62,7.19
WNV,44.41,-12.25
WNV,43.16,11.55
WNV,27.55,-25.98
WNV,32.42,-28.38
WNV,30.16,-23.83
WNV,32.1,-28
WNV,32.25,-26.92
WNV,30.43,-30.77
WNV,6.38,6.3
WNV,7.48,5.53
WNV,3.63,8.13
WNV,4.18,8.08
WNV,-4.2,7.66
WNV,0.37,11.73
WNV,30.83,-24.15
WNV,27.0163,-32.60019
WNV,-15.87,13.57
WNV,-14.66,13.43
WNV,-14.18,13.39
WNV,-16.45,13.4
WNV,-4.51,8.45
WNV,-5.25,6.55
WNV,-4.16,12.22
WNV,38.44,-3.49
WNV,9.2,12.43
WNV,-0.17835,5.64539
WNV,-3.61,12.81
WNV,37.53,-2.54
WNV,-16.97,14.42
WNV,-12.3,9.33
WNV,-12.08,7.77
WNV,-11.73,9.68
WNV,31.15,-0.4
WNV,-13.07,8.7
WNV,-10.38,8.34
WNV,-10.97,7.67
WNV,31.73,-0.34
WNV,30.5,-0.5
WNV,-11.7,8.45
WNV,-11.7,7.35
WNV,13.23,-8.81
WNV,30.58,-3.62
WNV,39.27,-6.83
WNV,36.3,-8.97
WNV,39.27,-10.95
WNV,38.63,-5.1
WNV,-2.75,11.62
WNV,39.1,-5.07
WNV,31.67,-21.05
WNV,-3.15,12.98
WNV,3.9,7.41
WNV,-4.82,5.88
WNV,2.44,6.36
WNV,3.37,6.49
WNV,1.05,6.01
WNV,-16.3,14.62
WNV,31.33,-22.45
WNV,18.48,5.13
WNV,-15.56,12.7
WNV,39.5,-3.97
WNV,44.67,1.65
WNV,11.84,-4.79
WNV,46.98,-25.02
WNV,47.25057,-19.4827
WNV,39.86,-3.63
WNV,45.01,10.43
WNV,37.35,-0.67
WNV,-7.38,9.82
WNV,38.85,-5.77
WNV,-1.53,12.36
WNV,3.72,6.87
WNV,45.18,2.15
WNV,40,-3.12
WNV,13.6,-1.63
WNV,-3.17,12.42
WNV,31.6,-24.98
WNV,6.73259,7.80037
WNV,5.63,6.34
WNV,0.05,6.3
WNV,45.8,2.3
WNV,-1.47,6.72
WNV,31.89,-28.75
WNV,-4.29,11.18
WNV,7.42,6.47
WNV,35.74,-6.17
WNV,49.92,-14.2
WNV,44.46667,-25.25
WNV,47.97,-18.9
WNV,7.8,5.07
WNV,15.2,-4.26
WNV,4.57,7.77
WNV,4.21,36.64
WNV,18.55,4.37
WNV,13.1,-0.5
WNV,47.44,-18.82
WNV,16.27,2.9
WNV,48.35,-21.22
WNV,16.05,3.52
WNV,47.24,-20.53
WNV,47.94,-18.41
WNV,49.39,-18.14
WNV,46.33,-15.7
WNV,47.11,-18.31
WNV,55.45,-4.62
WNV,11.58,1.6
WNV,9.59,0.99
WNV,9.46,0.41
WNV,47.09,-21.45
WNV,47.29,-11.57
WNV,63.38,-19.72
WNV,10.13,3.8
WNV,14.55,5.88
WNV,12.53,3.91
WNV,43.67,-23.34
WNV,11.22,4.75
WNV,55.65,-21.37
WNV,11.98,-1.65
WNV,3.36,7.15
WNV,11.98,2.93
WNV,9.57,4.5
WNV,13.68,4.58
WNV,14.36,4.43
WNV,10.15,5.96
WNV,55.34,-20.92
WNV,49.29,-12.28
WNV,18.44,-33.93
WNV,46.83,-16.95
WNV,45.59,-20.35
WNV,46.38,-25.04
WNV,44.74,-24.7
WNV,48.52899,-13.88222
WNV,47.88948,-22.0211
WNV,48.57594,-18.97193
WNV,57.57,-20.1
WNV,49.07257,-18.8178
WNV,48.27,-13.32
WNV,49.7428,-15.43355
WNV,45.71262,-24.47353
WNV,32.9664,23.97378
WNV,32.9066,24.96458
WNV,32.2569,30.74816
WNV,31.59553,22.33208
WNV,35.63314,23.94878
WNV,30.36434,30.35914
WNV,32.29943,31.2203
WNV,34.88312,25.06546
WNV,34.2331,26.11548
WNV,31.2815,30.07849
WNV,25.31337,29.26135
WNV,32.33286,28.92472
WNV,32.94546,24.47058
WNV,32.4934,23.74737
WNV,32.56637,30.01555
WNV,30.69435,29.31081
WNV,30.13262,31.12711
WNV,19.06,-33.98
WNV,6.01591,9.10025
WNV,6.36593,4.684
WNV,8.89929,9.86685
WNV,7.44927,10.50013
WNV,13.69937,11.51672
WNV,5.0659,9.30023
WNV,9.81597,10.28348
WNV,4.18254,12.46661
WNV,47.63869,-21.30364
WNV,8.53261,12.04999
WNV,10.16598,11.66669
WNV,7.44927,6.98378
WNV,13.08269,11.85002
WNV,26.5333,-33.3
WNV,31.01667,-29.785
WNV,36.8,-1.3
WNV,24.76667,-28.73333
WNV,31.05,-25.78333
WNV,50.28069,-14.90247
WNV,34.3,-13.25
