disease,decimalLongitude,decimalLatitude
WNV,-79.75892,-0.33668
WNV,-56.74,-29.8
WNV,-56.16,-30.29
WNV,-51.51,-29.71
WNV,-52.27,-24.57
WNV,-47.86,-24.5
WNV,-50.22,-22.62
WNV,-50.64,-22.23
WNV,-42.09,-21.73
WNV,-49.81,-21.49
WNV,-51.16,-19.14
WNV,-44,-19.21
WNV,-52.08,-18.81
WNV,-56.11,-16.76
WNV,-41.9,-15.03
WNV,-54.64,-14.54
WNV,-55.84,-14.39
WNV,-59.81,-14.4
WNV,-41.85,-14.35
WNV,-50.51,-14.03
WNV,-52.47,-14.09
WNV,-41.2,-14.13
WNV,-48.09,-13.99
WNV,-41.36,-13.38
WNV,-64.47,-11.32
WNV,-40.63,-10.83
WNV,-36.24,-10.1
WNV,-55.44,-9.81
WNV,-48.42,-8.77
WNV,-45.19,-8.52
WNV,-44.09,-8.19
WNV,-45.01,-6.4
WNV,-42.78,-5.19
WNV,-48.42,-4.48
WNV,-44.78,-3.01
WNV,-49.48,-2.55
WNV,-47.98,-1.88
WNV,-44.6,-1.98
WNV,-74.58,-8.39
WNV,-79.02,-8.11
WNV,-70.75,-13.34
WNV,-50.16,-29.46
WNV,-52.53,-28.89
WNV,-54.41,-25.44
WNV,-53.42,-24.09
WNV,-54.25,-23.94
WNV,-50.75,-23.59
WNV,-50.42,-20.64
WNV,-46.15,-20.61
WNV,-48.35,-19.62
WNV,-41.67,-17.42
WNV,-49,-15.83
WNV,-41.4,-15.32
WNV,-46.08,-15.07
WNV,-40.13,-13.95
WNV,-57.88,-13.66
WNV,-39.62,-12.46
WNV,-46.55,-12.35
WNV,-54.24,-11.82
WNV,-55.45,-11.74
WNV,-48.11,-11.41
WNV,-54,-10.92
WNV,-38.46,-10.38
WNV,-45.67,-9.97
WNV,-52.53,-10.04
WNV,-43.07,-9.94
WNV,-36.16,-9.39
WNV,-38.63,-9.24
WNV,-68.14,-8.82
WNV,-41.82,-8.92
WNV,-47.64,-8.5
WNV,-49.53,-8.21
WNV,-46.69,-7.75
WNV,-50.1,-7.37
WNV,-61.11,-6.79
WNV,-36.91,-6.68
WNV,-41.78,-6.39
WNV,-47.11,-6.38
WNV,-35.72,-5.79
WNV,-48.11,-5.64
WNV,-43.96,-5.26
WNV,-41.05,-4.8
WNV,-55.3,-4.2
WNV,-43.46,-3.77
WNV,-48.84,-1.74
WNV,-62.63,3.1
WNV,-42.83,-22.91
WNV,-49.55,-22.48
WNV,-41.98,-22.28
WNV,-46.5,-20.18
WNV,-53,-20.01
WNV,-54.5,-19.15
WNV,-42.8,-18.5
WNV,-39.88,-18.04
WNV,-44.22,-18.1
WNV,-45.97,-17.65
WNV,-50.2,-16.81
WNV,-39.72,-15.46
WNV,-42.89,-15.46
WNV,-40.25,-12.52
WNV,-45.49,-12.02
WNV,-42.6,-11.39
WNV,-68.58,-10.61
WNV,-41.19,-10.57
WNV,-37.31,-9.69
WNV,-59.43,-9.42
WNV,-70.81,-8.9
WNV,-36.62,-9.07
WNV,-38.74,-8.77
WNV,-50.22,-8.06
WNV,-53.64,-6.32
WNV,-50.47,-6.2
WNV,-47.6,-6.02
WNV,-41.53,-5.78
WNV,-49.68,-3.17
WNV,-49.03,-2.54
WNV,-45.82,-2.53
WNV,-46,-1.39
WNV,-50.66,0.59
WNV,-69.2,-12.59
WNV,-55.54,-28.25
WNV,-55.63,-30.8
WNV,-50.34,-23.3
WNV,-48.35,-22.12
WNV,-48.77,-21.02
WNV,-45.54,-20.52
WNV,-52.18,-20.4
WNV,-45.03,-20.25
WNV,-42.01,-19
WNV,-40.06,-18.8
WNV,-47.12,-17.75
WNV,-51.23,-16.2
WNV,-57.89,-15.62
WNV,-40.47,-15.18
WNV,-50.79,-15.31
WNV,-56.94,-14.72
WNV,-46.86,-14.59
WNV,-45.31,-13.49
WNV,-54.16,-13.34
WNV,-49.27,-13.28
WNV,-40.03,-13.05
WNV,-38.14,-12.61
WNV,-47.08,-12.82
WNV,-49.87,-12.39
WNV,-48.38,-12.54
WNV,-56.77,-12.14
WNV,-41.72,-11.78
WNV,-45.78,-10.86
WNV,-50.09,-11.05
WNV,-58.66,-10.95
WNV,-63.94,-10.09
WNV,-66.91,-9.95
WNV,-41.29,-9.24
WNV,-49.54,-8.91
WNV,-47.79,-7.51
WNV,-41.19,-7.41
WNV,-44.14,-6.77
WNV,-48.46,-6.6
WNV,-42.79,-6.4
WNV,-38.72,-5.49
WNV,-49.86,-3.8
WNV,-58.78,-3.14
WNV,-48.03,-0.82
WNV,-51.34,0.18
WNV,-58.44,-1.08
WNV,-60.14,2.79
WNV,-76.37,-6.48
WNV,-52.31,-31.56
WNV,-52.81,-28.46
WNV,-53.64,-25.88
WNV,-47.16,-24.18
WNV,-51.57,-23.05
WNV,-47.49,-22.13
WNV,-53.86,-22.06
WNV,-55.61,-20.77
WNV,-46.13,-19.03
WNV,-45.86,-16.94
WNV,-47.52,-16.7
WNV,-53.61,-16.38
WNV,-45.46,-15.46
WNV,-51.53,-12.88
WNV,-49.77,-12.84
WNV,-49.04,-12.67
WNV,-57.91,-12.1
WNV,-40.63,-11.42
WNV,-48.63,-11.07
WNV,-70.01,-10.72
WNV,-63.36,-10.25
WNV,-57.27,-9.93
WNV,-69.42,-9.77
WNV,-39.2,-9.19
WNV,-42.65,-9.03
WNV,-44.43,-8.53
WNV,-35.16,-8.58
WNV,-48.22,-8.36
WNV,-38.73,-8.16
WNV,-44.56,-7.79
WNV,-41.18,-6.88
WNV,-42.24,-6.81
WNV,-40.37,-6.59
WNV,-38.42,-6.25
WNV,-38.08,-5.85
WNV,-50.07,-5.53
WNV,-49.91,-5.08
WNV,-40.04,-4.94
WNV,-42.54,-3.56
WNV,-45.41,-2.12
WNV,-57.74,-1.11
WNV,-50.57,-1.16
WNV,-63.38,-0.14
WNV,-50.01,-1.57
WNV,-50,-0.79
WNV,-62.71,3.72
WNV,-51.51,-28.2
WNV,-54.45,-22.34
WNV,-46.68,-21.29
WNV,-50.91,-20.68
WNV,-43.16,-19.84
WNV,-43.58,-19.62
WNV,-42.15,-19.69
WNV,-56.03,-19.55
WNV,-41.36,-18.93
WNV,-45.05,-18.3
WNV,-40.85,-17.67
WNV,-45.43,-16.35
WNV,-43.42,-15.73
WNV,-47.21,-15.29
WNV,-58.99,-15.02
WNV,-58.01,-15
WNV,-49.08,-14.33
WNV,-42.48,-14
WNV,-47.72,-13.64
WNV,-52.08,-13.19
WNV,-51.37,-12.07
WNV,-37.67,-11.4
WNV,-41.68,-11.04
WNV,-43.73,-10.57
WNV,-50.8,-10.29
WNV,-48.8,-9.9
WNV,-47.4,-10.16
WNV,-48.15,-9.62
WNV,-40.84,-9.67
WNV,-39.91,-8.7
WNV,-65.92,-8.38
WNV,-36.65,-7.81
WNV,-37.81,-7.51
WNV,-45.55,-7.4
WNV,-47.67,-6.59
WNV,-45.92,-5.81
WNV,-44.61,-5.51
WNV,-45.96,-5
WNV,-41.57,-5
WNV,-43.35,-4.83
WNV,-46.3,-4.42
WNV,-40.07,-4.36
WNV,-54.5,-3.91
WNV,-40.3,-3.07
WNV,-72.69,-12.86
WNV,-50.87,-30.21
WNV,-54.37,-30.34
WNV,-54.56,-27.69
WNV,-53.9,-25.33
WNV,-55.37,-22.97
WNV,-47.21,-22.87
WNV,-51.99,-22.35
WNV,-51.43,-21.46
WNV,-57.32,-21.21
WNV,-46.62,-20.73
WNV,-50.67,-19.42
WNV,-40.97,-18.52
WNV,-47.72,-17.98
WNV,-48.2,-17.02
WNV,-53.58,-16.83
WNV,-46.83,-16.39
WNV,-40.29,-15.67
WNV,-44.26,-15.32
WNV,-50.96,-14.72
WNV,-42.84,-14.43
WNV,-39.96,-14.38
WNV,-53.08,-14.26
WNV,-43.11,-13.66
WNV,-42.54,-13.32
WNV,-61.97,-12.57
WNV,-46.03,-12.2
WNV,-43.56,-12.2
WNV,-51.81,-11.23
WNV,-42.8,-10.96
WNV,-49.21,-10.17
WNV,-37.96,-10.12
WNV,-57.8,-8.58
