disease,decimalLongitude,decimalLatitude
WNV,4.71221,43.90278
WNV,2.75927,41.69374
WNV,1.72644,41.22143
WNV,21.29,48.68
WNV,9.97,44.7
WNV,16.91,39.19
WNV,13.62,42.14
WNV,8.27355,48.84289
WNV,-0.88,43.19
WNV,22.17,40.9
WNV,2.47,43.05
WNV,23.7,40.27
WNV,5.45,46.06
WNV,16.26,47.14
WNV,5.55,45.29
WNV,1.24,43.3
WNV,24.84,41.13
WNV,4.54,46.66
WNV,-0.17,40.25
WNV,5.73,46.78
WNV,9.39,45.9
WNV,26.11,44.44
WNV,9.94,46.32
WNV,4.37,44.82
WNV,2.65,44.32
WNV,-1.52,38.06
WNV,22.75,41.07
WNV,16.59,49.12
WNV,6.43,46.05
WNV,0.47,44.37
WNV,5.24,44.73
WNV,24.2,41.27
WNV,39.17,45.12
WNV,13.2,43.48
WNV,11.45,43.17
WNV,12.39,42.65
WNV,11.88,43.52
WNV,10.64,43.47
WNV,10.44,44.02
WNV,27.31,42.45
WNV,12.63,43.69
WNV,12.59,43.11
WNV,12.05,44.04
WNV,12.92,42.41
WNV,13.51,41.63
WNV,9.02,45.04
WNV,16.39,39.6
WNV,8.3,46.12
WNV,8.2,44.83
WNV,14.43,42.1
WNV,8.35,45.55
WNV,9.77,44.23
WNV,13.75,42.66
WNV,14.92,38.05
WNV,16.51,38.83
WNV,14.8,37.51
WNV,13.86,45.14
WNV,13.61,37.88
WNV,2.98,48.62
WNV,21.97,37.09
WNV,0.91,41.05
WNV,17.25,40.55
WNV,14.68,45.06
WNV,22.7,37.92
WNV,15.87,43.85
WNV,20.35,39.54
WNV,7.39,45.16
WNV,14.15,41.2
WNV,2.07,41.76
WNV,19.4,42.7
WNV,23.49,41.08
WNV,15.13,40.42
WNV,8.97,41.86
WNV,16.4,40.45
WNV,16.11,38.24
WNV,10.34,45.78
WNV,22.39,37.43
WNV,15.05,37.03
WNV,16.64,41.03
WNV,18.14,40.15
WNV,0.06,48.58
WNV,10.02,45.22
WNV,16.99,44.67
WNV,18.03,42.72
