disease,decimalLongitude,decimalLatitude
WNV,-149.84,-17.5
WNV,-149.32,-17.72
WNV,-151.44,-16.8
WNV,167.21,-15.51
WNV,166.2,-21.61
WNV,178.81,-17.69
WNV,172.93,1.35
WNV,-159.77,-21.23
WNV,-171.82,-14
WNV,-172.43,-13.66
WNV,160.07,-11.56
WNV,-170.73,-14.33
WNV,178.43,-18.13
WNV,171.37,7.12
WNV,177.42,-17.8
WNV,166.92,-0.52
WNV,166.54,-20.66
WNV,164.89,-21.13
WNV,165.48,-21.57
WNV,-169.87,-19.06
WNV,152.16667,-4.16667
WNV,168.32,-17.74
WNV,-155.60934,19.0441
WNV,-154.93254,19.39576
WNV,-155.67342,20.02113
WNV,-156.37827,20.91928
WNV,-155.9168,19.49036
WNV,-155.15404,19.85385
WNV,-157.80179,21.33277
WNV,175.73418,-37.47808
WNV,-175.22,-21.15
WNV,144.79,13.44
WNV,-159.6,22.04
WNV,179.18,-16.58
WNV,178,-17.8
WNV,-179.97,-16.82
WNV,145.72,15.14
WNV,96.829,-12.174
WNV,166.45,-22.26667
WNV,159.95,-9.4333
WNV,168.25,-16.68333
WNV,167.95,-29.03333
WNV,-139,-9.76
WNV,174.76666,-36.86666
WNV,145.4,-20.52
WNV,147.84,-20.55
WNV,143.14,-20.73
WNV,146.8,-19.28
WNV,144.2,-20.84
WNV,148.58,-20.4
WNV,151.26,-23.85
WNV,139.49,-20.72
WNV,146.89,-20.1
WNV,140.84,-17.49
WNV,143.55,-18.3
WNV,144.51666,-17.15
WNV,134.73334,-14.73333
WNV,151.12257,-25.3706
WNV,149.79,-25.64
WNV,138.12,-19.92
WNV,144.24,-23.44
WNV,134.19,-19.65
WNV,149.07,-23.57
WNV,136.45,-13.97
WNV,143.55,-35.33333
WNV,144.97,-37.82
WNV,144.75278,-36.13611
WNV,113.65861,-24.89167
WNV,132.8667,-12.58333
WNV,128.10001,-15.46667
WNV,127.66639,-18.22861
WNV,145.0833,-28.55
WNV,144.31667,-27.51667
WNV,150.45,-27.28333
WNV,151.26666,-33.9
WNV,152.93333,-29.68333
WNV,153.43333,-28.98333
WNV,147.73331,-31.617
WNV,150.48334,-34.73333
WNV,145.56667,-35.81667
WNV,145.35527,-36.39028
WNV,130.837,-12.444
WNV,132.26669,-14.46667
WNV,151.25,-27.18333
WNV,146.25,-24.88333
WNV,145.25,-15.46667
WNV,151.16667,-32.56667
WNV,145.95,-30.08333
WNV,153.01666,-27.46667
WNV,148.26666,-36.45
WNV,146.15,-18.65
WNV,146.26,-20.08
WNV,148.25,-20.01
WNV,147.41,-19.58
WNV,147.64,-22.82
WNV,149.17,-21.16
WNV,141.75,-20.66
WNV,140.51,-20.7
WNV,149.89,-22.81
WNV,143.04,-22.39
WNV,139.91,-22.91
WNV,148.16,-23.53
WNV,149.67,-23.72
WNV,148.23334,-28.58333
WNV,145.36,-16.46
WNV,145.48,-17.23
WNV,151.95,-25
WNV,153.06667,-26.68333
WNV,150.58333,-29.53333
WNV,149.05,-32.71667
WNV,148.5,-32.38334
WNV,151.4167,-33.28333
WNV,131.39999,-13.46667
WNV,151.12,-24.86
WNV,136.77,-12.2
WNV,152.07,-26.19
WNV,150.74,-23.12
WNV,150.39,-23.64
WNV,145.75,-16.85
WNV,150.62,-26.73
WNV,145.28,-23.55
WNV,146.63,-23.65
WNV,150.5,-24.4
WNV,145.47,-24.42
WNV,151.6,-25.62
WNV,151.75,-32.76667
WNV,115.85361,-31.98306
WNV,117.78333,-22.68333
WNV,142.38333,-10.88333
WNV,133.86667,-23.7
WNV,128.73334,-15.78333
WNV,141.75,-15.46667
WNV,148.31667,-21.2
WNV,148.78334,-26.58333
WNV,123.63333,-17.31667
WNV,143.45,-26.08333
WNV,149.26669,-31.25
WNV,147.43333,-21.26667
WNV,144.5,-22.15
WNV,152.11667,-28.03333
WNV,153.39999,-27.98333
WNV,142.26666,-10.18333
WNV,142.06667,-34.16667
WNV,146.01666,-17.53333
WNV,147.96666,-32.03333
WNV,145.68333,-28.06667
WNV,139.85001,-21.35
WNV,144.43333,-24.26667
WNV,146.25,-26.4
WNV,147.46666,-26.48333
WNV,141.45,-31.96667
WNV,149.81667,-35.65
WNV,150.5833,-33.86666
WNV,150.93333,-31.08333
WNV,147.78334,-34.01667
WNV,153.5,-28.5
