disease,decimalLongitude,decimalLatitude
YellowFever,26.38,-12.17
YellowFever,4.57,7.77
YellowFever,13.1,-0.5
YellowFever,-15.68,16.47
YellowFever,34.78,0.37
YellowFever,18.91,5.64
YellowFever,34.73,-0.09
YellowFever,34.89,1.09
YellowFever,17.65,5.27
YellowFever,21.2,5.05
YellowFever,30.17,0.82
YellowFever,-12.72,14.18
YellowFever,37.16,19.64
YellowFever,11.5,3.84
YellowFever,29.9,-0.18
YellowFever,-16.28,12.58
YellowFever,55.31,-21.18
YellowFever,-16.82,14.17
YellowFever,46.85,-16.34
YellowFever,10.13,3.8
YellowFever,13.68,4.58
YellowFever,13.58,7.32
YellowFever,45.22,-12.78
YellowFever,15.03,12.08
YellowFever,47.29,-11.57
YellowFever,13.17,3.98
YellowFever,12.72,-0.83
YellowFever,13.82,8.25
YellowFever,14.33,10.58
YellowFever,49.13,-12.91
YellowFever,11.58,1.6
YellowFever,44.66,-20.07
YellowFever,9.59,0.99
YellowFever,44.2,-23.07
YellowFever,-16.22,15.62
YellowFever,10.42,5.47
YellowFever,46.33,-15.7
YellowFever,14.29,6.52
YellowFever,-16.49,16.02
YellowFever,11.22,4.75
YellowFever,9.46,0.37
YellowFever,-11.76,12.83
YellowFever,-15.55,14.11
YellowFever,-13.12,13.22
YellowFever,11.98,-1.65
YellowFever,-14.8,13.98
YellowFever,-12.55,13.02
YellowFever,-13.68,13.77
YellowFever,43.45,-11.83
YellowFever,43.28,-11.4
YellowFever,13.92,10.97
YellowFever,36.82,-1.29
YellowFever,-16.4,14.48
YellowFever,-15.33,15.72
YellowFever,12.62,6.47
YellowFever,13.51,9.4
YellowFever,14.55,5.89
YellowFever,11.98,2.93
YellowFever,10.15,5.96
YellowFever,11.15,2.92
YellowFever,11.49,6.09
YellowFever,-15.89,14.87
YellowFever,9.71,4.05
YellowFever,9.19,4.02
YellowFever,-14.87,15.28
YellowFever,9.9,5.3
YellowFever,12.53,3.9
YellowFever,14.36,4.43
YellowFever,-9.3,10.38
YellowFever,-8.2,6.91
YellowFever,-5.93,6.31
YellowFever,-6.45,6.87
YellowFever,-13.03,10.9
YellowFever,-5.66,5.83
YellowFever,-12.28,11.31
YellowFever,-12.02,11.72
YellowFever,-12.25,10.7
YellowFever,-7.25,6.66
YellowFever,-11.11,10.75
YellowFever,-12.85,10.06
YellowFever,-10.73,10.03
YellowFever,-9.01,9.26
YellowFever,-13.2,11.75
YellowFever,-2.7,10.53
YellowFever,-1.81,9.07
YellowFever,-0.85,10.79
YellowFever,-5.03,7.69
YellowFever,-1.98,10.87
YellowFever,-3.45,10.13
YellowFever,-14.28,15.28
YellowFever,-4.04,5.32
