disease,decimalLongitude,decimalLatitude
YellowFever,-82.14874,26.97121
YellowFever,-97.01585,32.31178
YellowFever,-120.08333,36.91667
YellowFever,-122.25,37.41667
YellowFever,-119.58333,36.58334
YellowFever,-91.16944,18.97639
YellowFever,-98.88722,21.66583
YellowFever,-87.46639,20.20806
YellowFever,-90.73444,18.60667
YellowFever,-97.06667,15.8625
YellowFever,-88.04528,19.57861
YellowFever,-100.13194,27.24028
YellowFever,-88.16917,19.14306
YellowFever,-96.47861,15.86861
YellowFever,-99.60417,22.39833
YellowFever,-94.895,17.09528
YellowFever,-93.21222,18.39556
YellowFever,-103.39194,20.72028
YellowFever,-100.14111,18.8575
YellowFever,-100.75556,23.37222
YellowFever,-101.50611,22.76333
YellowFever,-98.93667,21.11528
YellowFever,-89.84306,19.74444
YellowFever,-101.00361,22.24167
YellowFever,-95.25556,17.475
YellowFever,-103.9375,20.53722
YellowFever,-97.98889,16.76111
YellowFever,-93.11667,16.75278
YellowFever,-103.76861,19.74667
YellowFever,-99.30667,21.95972
YellowFever,-105.08611,22.74778
YellowFever,-91.36278,18.18444
YellowFever,-98.35278,22.22306
YellowFever,-98.07611,20.46
YellowFever,-101.93333,21.35583
YellowFever,-99.99667,21.93194
YellowFever,-99.61389,18.84556
YellowFever,-93.72167,16.695
YellowFever,-116.61083,31.86361
YellowFever,-98.48333,24.21444
YellowFever,-95.825,16.42861
YellowFever,-92.09167,18.25556
YellowFever,-90.05222,20.37389
YellowFever,-96.61528,16.97639
YellowFever,-100.72139,20.0325
YellowFever,-102.18806,21.82417
YellowFever,-88.6025,20.96556
YellowFever,-101.49694,20.3675
YellowFever,-100.33,20.60667
YellowFever,-100.62722,21.05194
YellowFever,-98.79056,18.52278
YellowFever,-95.88056,18.10694
YellowFever,-102.71833,21.84611
YellowFever,-92.56389,16.33806
YellowFever,-100.24,21.48056
YellowFever,-99.30722,23.47861
YellowFever,-96.53472,18.07083
YellowFever,-102.01583,20.34722
YellowFever,-98.39583,20.91333
YellowFever,-98.67806,20.49944
YellowFever,-98.21,19.04
YellowFever,-89.26,21.34
YellowFever,-89.17,20.73
YellowFever,-97.14,18.84
YellowFever,-96.96,19.45
YellowFever,-103.72889,22.38833
YellowFever,-97.02361,17.95556
YellowFever,-103.77278,21.86528
YellowFever,-104.94806,19.3325
YellowFever,-105.24778,19.77
YellowFever,-90.72056,19.35472
YellowFever,-105.15417,20.77861
YellowFever,-103.12111,19.77528
YellowFever,-99.05361,23.03889
YellowFever,-103.26639,22.11417
YellowFever,-100.18028,23.67222
YellowFever,-99.77083,23.97222
YellowFever,-97.60694,17.12917
YellowFever,-99.68944,23.15028
YellowFever,-103.45889,19.22028
YellowFever,-98.09861,24.97111
YellowFever,-99.92083,20.91778
YellowFever,-96.68333,18.59861
YellowFever,-98.86083,22.3075
YellowFever,-97.93056,16.20278
YellowFever,-104.30306,19.31083
YellowFever,-99.00667,23.91861
YellowFever,-99.65417,27.40194
YellowFever,-100.72472,23.82083
YellowFever,-102.25111,22.28444
YellowFever,-88.59167,19.58472
YellowFever,-99.63556,21.445
YellowFever,-101.27917,20.93222
YellowFever,-87.99833,20.17083
YellowFever,-100.97056,21.71417
YellowFever,-100.09806,24.87528
YellowFever,-102.77694,21.26528
YellowFever,-96.26667,16.66944
YellowFever,-89.63,20.97
YellowFever,-99.85,16.89
YellowFever,-88.15,21.15
YellowFever,-99.53,18.34
YellowFever,-98.58,17.54
YellowFever,-94.25,36.34
YellowFever,-100.63,17.22
YellowFever,-62.69,17.29
YellowFever,-87.94,20.66
YellowFever,-89.43,20.31
YellowFever,-104.28444,19.84583
YellowFever,-97.77611,17.80472
YellowFever,-88.92139,20.12556
YellowFever,-97.43958,25.24103
YellowFever,-97.756,23.75817
YellowFever,-97.74128,24.49578
YellowFever,-107.55789,25.80778
YellowFever,-101.93028,20.89139
YellowFever,-100.18,26.5
YellowFever,-99.88,17.67
YellowFever,-61.11,14.83
YellowFever,-60.84,14.44
YellowFever,-61.53,16.24
YellowFever,-92.34083,14.855
YellowFever,-93.20917,15.68667
YellowFever,-97.05417,20.06056
YellowFever,-98.22611,21.345
YellowFever,-92.76556,18.14528
YellowFever,-103.18917,20.29
YellowFever,-100.96111,20.48278
YellowFever,-99.53889,26.31056
YellowFever,-88.48639,20.33333
YellowFever,-100.75078,18.89411
YellowFever,-102.06686,19.41167
YellowFever,-102.84725,19.18439
YellowFever,-102.29828,18.93744
YellowFever,-100.34514,19.58194
YellowFever,-102.55744,20.288
YellowFever,-76.64,36.7
YellowFever,-105.45911,22.40408
YellowFever,-108.32386,26.71722
YellowFever,-106.38153,23.22069
YellowFever,-105.29586,21.93906
YellowFever,-108.079,25.45161
YellowFever,-106.59775,23.79286
YellowFever,-107.36156,24.34189
YellowFever,-108.98581,25.91958
YellowFever,-107.38428,24.80194
YellowFever,-86.02,12.31
YellowFever,-79.98,21.8
YellowFever,-84.84,9.97
YellowFever,-90.4,20.86
YellowFever,-81.39,19.28
YellowFever,-83.73,9.15
YellowFever,-86.51,11.78
YellowFever,-83.99,9.61
YellowFever,-99.92675,25.38589
YellowFever,-101.81736,19.01161
YellowFever,-88.69319,18.18892
YellowFever,-87.73511,18.77089
YellowFever,-102.97889,25.75833
YellowFever,-102.06917,26.98417
YellowFever,-101.41806,26.90083
YellowFever,-103.61194,25.49889
YellowFever,-75.21,20.14
YellowFever,-96.38,19.6
YellowFever,-82.72,28.22
YellowFever,-108.6,25.53
YellowFever,-104.3,32.48
YellowFever,-66.25,18.02
YellowFever,-94.95661,17.88353
YellowFever,-96.10931,19.10094
YellowFever,-99.55725,24.69697
YellowFever,-84.87,32.51
YellowFever,-79.27,21.77
YellowFever,-110.1,27.45
YellowFever,-95.52,18.63
YellowFever,-109.63,26.91
YellowFever,-82.41,23.12
YellowFever,-104.90056,21.23694
YellowFever,-104.66972,24.02361
YellowFever,-99.89,32.3
YellowFever,-95.46,29.19
YellowFever,-97.64,27.73
YellowFever,-102.03,31.87
YellowFever,-96.56,33.19
YellowFever,-93.9,30.13
YellowFever,-90.53,14.63
YellowFever,-96.3,30.67
YellowFever,-96.77,32.77
YellowFever,-95.5,30.3
