disease,decimalLongitude,decimalLatitude
YellowFever,2.47472,48.90361
YellowFever,72.19,31.16
YellowFever,119.36,-9.5
YellowFever,123.07,0.69
YellowFever,112.72,-7.26
YellowFever,74.17,32.1
YellowFever,73.61,33.03
YellowFever,74.33,31.57
YellowFever,74.47,32.67
YellowFever,73.45,30.81
YellowFever,73.07,33.63
YellowFever,73.97,31
YellowFever,113.95,-2.25
YellowFever,140.38,35.75
YellowFever,105.31,-5.12
YellowFever,114.9,-3.39
YellowFever,124.51,1.18
YellowFever,71.72,34.15
YellowFever,103.61,-1.62
YellowFever,112.82,-8.05
YellowFever,106.73,-6.56
YellowFever,101.89,3.57
YellowFever,102.53,16.12
YellowFever,105.55,15.88
YellowFever,80.03,9.68
YellowFever,39.98,21.35
YellowFever,99.83,19.91
YellowFever,39.17,21.54
YellowFever,109.23,-7.42
YellowFever,111.43,-6.96
YellowFever,109.15,-6.88
YellowFever,94.89,27.37
YellowFever,119.76,-5.48
YellowFever,110.79,-7.57
YellowFever,85.6,24.47
YellowFever,72.36,33.77
YellowFever,104.58,15.13
YellowFever,102.1,12.61
YellowFever,71.47,30.2
YellowFever,100.35,16.44
YellowFever,101.38,12.63
YellowFever,73.08,31.42
YellowFever,102.74,17.88
YellowFever,106.67,10.16
YellowFever,110.68,-6.58
YellowFever,102.79,17.42
YellowFever,68.37,25.38
YellowFever,85.24,21.35
YellowFever,102.03,5.28
YellowFever,111.1,-8.21
YellowFever,97.97,18.16
YellowFever,102.55,3.73
YellowFever,117.13,5.35
YellowFever,98.57,16.71
YellowFever,102.26,6.12
YellowFever,100.24,20.25
YellowFever,104.74,-2.93
YellowFever,115.99,-3.45
YellowFever,119.42,-2.34
YellowFever,90.29,24.18
YellowFever,120.22,-5.54
YellowFever,106.3,-6.91
YellowFever,41.21,21.63
YellowFever,113.3,2.59
YellowFever,86.13,20.63
YellowFever,100.61,7.18
YellowFever,104.22,-4.17
YellowFever,99.52,16.48
YellowFever,108.73,12.76
YellowFever,80.38,7.47
YellowFever,75.59,11.59
YellowFever,105.89,-1.64
YellowFever,76.96,28.38
YellowFever,104.83,9.05
YellowFever,120.5,-1.68
YellowFever,101.15,16.26
YellowFever,43.18,14.83
YellowFever,123.88,10.43
YellowFever,101.39,13.6
YellowFever,44.04,15.77
YellowFever,105.05,15.61
YellowFever,96.91,4.23
YellowFever,117.46,0.16
YellowFever,79.8,7.58
YellowFever,46.94,14.74
YellowFever,107.48,12.31
YellowFever,95.96,5.34
YellowFever,81.56,7.83
YellowFever,105.34,14.77
YellowFever,75.82,30.81
YellowFever,107.09,-6.25
YellowFever,100.06,13.82
YellowFever,108.5,11.22
YellowFever,105.77,18.46
YellowFever,108.14,12.18
YellowFever,108.32,15.79
YellowFever,107.48,16.52
YellowFever,76.13,25.13
YellowFever,88.26,27.05
YellowFever,73.5,4.17
YellowFever,105.48,9.24
YellowFever,107.19,11.8
YellowFever,73.02,26.28
YellowFever,41.02342,43.00154
YellowFever,77.27,27.25
YellowFever,94.51,26.32
YellowFever,106.88,11.46
YellowFever,109.17,12.55
YellowFever,106.27,20.3
YellowFever,72.79,26.75
YellowFever,123.95,0.66
YellowFever,108.95,11.59
YellowFever,108.39,11.75
YellowFever,106.99,10.95
YellowFever,79.52,29.08
YellowFever,75.81,26.91
YellowFever,113.82,-7.98
YellowFever,79.33,13.27
YellowFever,105.85,20.57
YellowFever,92.75,11.62
YellowFever,108.04,12.67
YellowFever,93.91,24.66
YellowFever,122.07,6.91
YellowFever,120.39,22.55
YellowFever,76.52,9.59
YellowFever,98.51,3.1
YellowFever,107.03,17.05
YellowFever,105.81,19.57
YellowFever,73.64,10.07
YellowFever,109.25,13.56
YellowFever,88.36,22.53
YellowFever,109.06,14.65
YellowFever,108.02,16.27
YellowFever,106.47,17.92
YellowFever,106.63,17.46
YellowFever,74.53,20.55
YellowFever,108.74,15.33
YellowFever,119.9,-0.92
YellowFever,107.61,-6.91
YellowFever,100.06,7.02
YellowFever,100.01,15.05
YellowFever,100.05,7.5
YellowFever,77.36,11.09
YellowFever,102.06,15.07
YellowFever,99.05,15.08
