disease,decimalLongitude,decimalLatitude
YellowFever,144.54,-22.57
YellowFever,146.25,-20.05
YellowFever,145.37,-16.46
YellowFever,145.75,-16.85
YellowFever,146.03,-17.52
YellowFever,115.75,-31.86
YellowFever,151,-33.81
YellowFever,148.25,-20.01
YellowFever,148.79,-26.57
YellowFever,145.4,-20.52
YellowFever,147.84,-20.55
YellowFever,146.79,-19.28
YellowFever,143.14,-20.73
YellowFever,150.39,-23.64
YellowFever,147.41,-19.67
YellowFever,149.17,-21.16
YellowFever,148.58,-20.4
YellowFever,141.75,-20.66
YellowFever,151.26,-23.85
YellowFever,140.51,-20.7
YellowFever,149.89,-22.81
YellowFever,139.49,-20.72
YellowFever,143.04,-22.39
YellowFever,139.91,-22.91
YellowFever,148.16,-23.53
YellowFever,148.02,-23.09
YellowFever,149.67,-23.72
YellowFever,146.89,-20.1
YellowFever,142.25,-10.17
YellowFever,142.17,-10.68
YellowFever,148.23334,-28.58333
YellowFever,143.61,-18.58
YellowFever,145.48,-17.63
YellowFever,146.28334,-18.58333
YellowFever,144.51666,-17.15
YellowFever,151.95,-25
YellowFever,141.06667,-17.66667
YellowFever,134.73334,-14.73333
YellowFever,144.25,-23.61667
YellowFever,144.2,-20.85
YellowFever,153.06667,-26.68333
YellowFever,153.5,-28.5
YellowFever,150.58333,-29.53333
YellowFever,145.25,-15.46667
YellowFever,149.05,-32.71667
YellowFever,148.5,-32.38334
YellowFever,151.4167,-33.28333
YellowFever,131.39999,-13.46667
YellowFever,145.95,-30.08333
YellowFever,151.12257,-25.3706
YellowFever,153.02427,-27.47099
YellowFever,151.12,-24.86
YellowFever,149.79,-25.64
YellowFever,136.77,-12.2
YellowFever,138.12,-19.92
YellowFever,152.07,-26.19
YellowFever,146.23,-26.4
YellowFever,150.74,-23.12
YellowFever,149.07,-23.57
YellowFever,150.62,-26.73
YellowFever,145.28,-23.55
YellowFever,134.23,-19.55
YellowFever,146.63,-23.65
YellowFever,147.63,-22.82
YellowFever,150.5,-24.4
YellowFever,145.47,-24.42
YellowFever,136.45,-13.97
YellowFever,151.6,-25.62
YellowFever,-154.93259,19.39572
YellowFever,-155.80999,20.02335
YellowFever,-175.22,-21.15
YellowFever,-151.48,-16.84
YellowFever,-149.83,-17.5
YellowFever,-170.7,-14.28
YellowFever,-149.28,-17.75
YellowFever,168.32,-17.74
YellowFever,167.21,-15.51
YellowFever,177.46,-17.61
YellowFever,166.22,-21.61
YellowFever,-171.63,-13.88
YellowFever,-179.98,-16.84
YellowFever,178.81,-17.69
YellowFever,172.93,1.35
YellowFever,-159.77,-21.23
YellowFever,-172.19,-13.68
YellowFever,160.07,-11.56
YellowFever,145.72,15.14
YellowFever,168.16,-16.25
YellowFever,171.37,7.12
YellowFever,166.45,-22.26667
YellowFever,160.15,-9.58
YellowFever,164.85,-21.06
YellowFever,165.48,-21.57
YellowFever,166.6,-20.45
YellowFever,-169.87,-19.06
YellowFever,166.9167,-0.55
YellowFever,152.16667,-4.16667
YellowFever,178.43,-18.13
