disease,decimalLongitude,decimalLatitude
Zika,26.38,-12.17
Zika,37.22,19.62
Zika,-15.68,16.47
Zika,18.91,5.64
Zika,17.65,5.27
Zika,21.2,5.05
Zika,29.9,-0.18
Zika,-16.82,14.17
Zika,47.1,-16.12
Zika,13.58,7.32
Zika,15.03,12.08
Zika,13.17,3.98
Zika,13.82,8.25
Zika,49.13,-12.91
Zika,-15.88,14.86
Zika,9.59,0.99
Zika,14.55,5.89
Zika,45.17,-12.96
Zika,-16.22,15.62
Zika,-12.71,14.19
Zika,14.29,6.52
Zika,-16.49,16.02
Zika,-13.68,13.77
Zika,-13.12,13.22
Zika,-12.55,13.02
Zika,-11.75,12.83
Zika,43.45,-11.83
Zika,43.28,-11.4
Zika,-17.44,14.68
Zika,13.81,10.74
Zika,14.23,10.25
Zika,-16.4,14.48
Zika,-15.33,15.72
Zika,13.51,9.4
Zika,11.15,2.92
Zika,10.41,5.49
Zika,-14.87,15.28
Zika,7.03,5.78
Zika,9.9,5.3
Zika,-9.3,10.38
Zika,-12.3,12.08
Zika,-8.2,6.91
Zika,-5.93,6.31
Zika,-13.03,10.9
Zika,-12.63,9.86
Zika,-5.66,5.83
Zika,-12.28,11.31
Zika,-12.25,10.7
Zika,-7.25,6.66
Zika,-11.68,11.45
Zika,-11.11,10.75
Zika,-10.73,10.03
Zika,-9.01,9.26
Zika,-13.2,11.75
Zika,-2.7,10.53
Zika,-1.81,9.07
Zika,-0.85,10.79
Zika,-1.98,10.87
Zika,-3.45,10.13
Zika,-14.28,15.28
Zika,-4.98,8.18
Zika,-15.43,14.11
Zika,-14.98,14.48
Zika,-14.82,13.98
Zika,-10.04,5.88
Zika,-7.45,5.86
Zika,43.16,11.55
Zika,27.55,-25.98
Zika,32.42,-28.38
Zika,30.16,-23.83
Zika,30.43,-30.77
Zika,3.63,8.13
Zika,-4.23,7.66
Zika,-4,7.09
Zika,-5.25,6.55
Zika,-4.16,12.22
Zika,38.44,-3.49
Zika,9.2,12.43
Zika,39.5,-3.97
Zika,-3.61,12.81
Zika,37.53,-2.54
Zika,-12.3,9.33
Zika,-13.07,8.33
Zika,30.05,0.71
Zika,-11.83,7.43
Zika,31.15,-0.4
Zika,-10.38,8.34
Zika,-11.7,8.45
Zika,-11.72,9.69
Zika,39.28,-6.85
Zika,13.23,-8.81
Zika,30.58,-3.62
Zika,36.3,-8.97
Zika,35.74,-6.18
Zika,39.27,-10.95
Zika,0.09,6.32
Zika,-3.15,12.98
Zika,9.44,4.64
Zika,-4.82,5.88
Zika,1.05,6.01
Zika,31.33,-22.45
Zika,44.67,1.65
Zika,11.84,-4.79
Zika,47.25057,-19.4827
Zika,39.86,-3.63
Zika,45.01,10.43
Zika,37.35,-0.67
Zika,-7.38,9.82
Zika,38.85,-5.77
Zika,45.18,2.15
Zika,13.6,-1.63
Zika,-3.55,12.3
Zika,31.6,-24.98
Zika,40.14,-3.04
Zika,5.63,6.34
Zika,30.65,-0.61
Zika,45.8,2.3
Zika,31.67,-21.07
Zika,-16.99,14.92
Zika,-1.47,6.72
Zika,-12.23,12.6
Zika,3.35,7.16
Zika,49.92,-14.2
Zika,44.46667,-25.25
Zika,7.8,5.07
Zika,-12.2168,8.31678
Zika,-11.33345,7.50019
Zika,-15.91716,16.01724
Zika,19.18349,6.98337
Zika,36.83415,7.66785
Zika,33.89445,0.31972
Zika,32.4667,0.05
Zika,-3.23333,9.58333
Zika,35.18413,-0.16936
Zika,35.65081,0.44726
Zika,34.73412,-0.68598
Zika,28.86725,-2.5023
Zika,36.03415,0.19728
Zika,18.33365,0.06415
Zika,25.23383,0.43078
Zika,-10.83345,7.98348
Zika,25.46717,3.46386
Zika,16.9333,-12.3833
Zika,8.31667,4.96667
Zika,-4.05,5.41667
Zika,5.23257,7.28375
Zika,8.91597,4.43402
Zika,9.28264,5.71724
Zika,7.44927,6.98378
Zika,6.36593,4.684
Zika,4.21,36.64
Zika,13.1,-0.5
Zika,47.09,-21.45
Zika,16.27,2.9
Zika,48.35,-21.22
Zika,16.05,3.52
Zika,47.11,-18.32
Zika,47.24,-20.53
Zika,47.94,-18.41
Zika,47.46,-18.82
Zika,44.3,-20.3
Zika,55.8,-21.23
Zika,55.45,-4.62
Zika,11.58,1.6
Zika,46.32,-15.71
Zika,12.72,-0.83
Zika,10.16,5.96
Zika,47.29,-11.57
Zika,49.39,-18.14
Zika,63.38,-19.72
Zika,10.13,3.8
Zika,13.68,4.58
Zika,9.7,4.05
Zika,12.53,3.91
Zika,11.22,4.75
Zika,9.46,0.37
Zika,11.98,-1.65
Zika,11.98,2.93
Zika,11.5,3.52
Zika,14.36,4.43
Zika,11.49,6.09
Zika,12.62,6.47
Zika,6.22,6.22
Zika,18.44,-33.93
Zika,45.59,-20.35
Zika,46.38,-25.04
Zika,44.74,-24.7
Zika,48.2,-13.36
Zika,49.07257,-18.8178
Zika,44.53,-22.92
Zika,49.28,-12.28
Zika,57.7,-20.41
Zika,49.7428,-15.43355
Zika,45.71262,-24.47353
Zika,1.3667,10.31667
Zika,7.71594,11.08341
Zika,10.33264,12.29997
Zika,20.35015,8.08337
Zika,36.68411,-8.13536
Zika,-2.21684,11.76755
Zika,-4.76688,10.63432
Zika,23.11657,-13.56806
Zika,8.67425,9.08458
Zika,-0.21641,5.55278
Zika,-1.08309,5.20282
Zika,26.65053,-4.45213
Zika,8.14929,5.98388
Zika,8.53261,12.04999
Zika,7.8326,12.54994
Zika,9.74931,8.18367
Zika,7.59928,5.53392
Zika,3.38361,6.48972
Zika,7.18259,12.74992
Zika,10.19931,11.83335
Zika,18.50015,5.16671
Zika,20.48349,8.51671
Zika,20.16682,7.55004
Zika,32.83333,2.71667
Zika,4.23255,8.13367
Zika,6.38259,8.58363
Zika,37,-1.46667
Zika,8.78262,9.73353
Zika,6.21592,7.56706
Zika,4.99923,7.86703
Zika,49.67436,-16.04217
Zika,3.38254,8.66695
Zika,4.01588,9.16691
Zika,7.31593,11.40004
Zika,33,-2.83333
Zika,-5,7.7
Zika,35.93333,-11.16667
Zika,30,-3.33333
Zika,11,4.2
Zika,-14.51667,16.51667
Zika,-16.38333,13.68333
Zika,-15,11.9
Zika,15.36667,-4.33333
Zika,-0.33333,16.91667
Zika,1.33333,18.41667
Zika,-2.96667,15
Zika,0.61667,18.06667
Zika,-1.33333,15.8
Zika,0.83333,19.33333
Zika,0.11667,17.33333
Zika,44.5,-12.2
Zika,0.18333,5.81667
Zika,34.68333,-0.06667
