disease,decimalLongitude,decimalLatitude
Zika,-105.44281,20.48729
Zika,-97.01585,32.31178
Zika,-120.08333,37.08333
Zika,-119.58333,36.75
Zika,-91.16944,18.97639
Zika,-105.09944,20.82361
Zika,-87.46639,20.20806
Zika,-91.83083,18.64333
Zika,-90.73444,18.60667
Zika,-88.04528,19.57861
Zika,-95.31306,17.43528
Zika,-100.13194,27.24028
Zika,-95.90639,16.50111
Zika,-94.4825,16.35083
Zika,-90.53167,19.84222
Zika,-100.14111,18.8575
Zika,-100.75556,23.37222
Zika,-101.50611,22.76333
Zika,-89.84306,19.74444
Zika,-89.53389,20.39528
Zika,-103.81194,21.68278
Zika,-97.98889,16.76111
Zika,-93.11667,16.75278
Zika,-105.08611,22.74778
Zika,-99.99667,21.93194
Zika,-98.35556,20.89833
Zika,-99.61389,18.84556
Zika,-98.76306,20.59611
Zika,-116.61083,31.86361
Zika,-98.20778,23.7675
Zika,-98.48333,24.21444
Zika,-87.93639,20.65472
Zika,-92.09167,18.25556
Zika,-96.61528,16.97639
Zika,-92.47361,16.53944
Zika,-87.70722,18.71611
Zika,-102.18806,21.82417
Zika,-98.49167,21.74444
Zika,-88.6025,20.96556
Zika,-100.68833,21.76028
Zika,-103.55556,20.84444
Zika,-102.89056,21.18167
Zika,-93.37556,18
Zika,-100.24,21.48056
Zika,-100.43361,20.52056
Zika,-96.05278,18.12028
Zika,-99.30722,23.47861
Zika,-96.53472,18.07083
Zika,-102.01583,20.34722
Zika,-94.64694,17.05667
Zika,-89.26,21.34
Zika,-96.13,19.17
Zika,-97.32,18.72
Zika,-98.45,18.9
Zika,-89.17,20.73
Zika,-96.96,19.45
Zika,-103.72889,22.38833
Zika,-97.02361,17.95556
Zika,-90.72056,19.35472
Zika,-99.61583,24.23139
Zika,-99.91944,20.91556
Zika,-99.04444,22.00111
Zika,-103.95389,20.56222
Zika,-103.25,19.64778
Zika,-99.05361,23.03889
Zika,-103.26639,22.11417
Zika,-98.90972,21.44722
Zika,-100.17444,23.25806
Zika,-97.82333,16.28056
Zika,-97.60694,17.12917
Zika,-99.68944,23.15028
Zika,-98.09861,24.97111
Zika,-99.11556,23.90361
Zika,-100.96528,22.22
Zika,-101.31194,20.88167
Zika,-98.76694,22.5425
Zika,-90.05556,20.31861
Zika,-104.33444,19.82167
Zika,-99.65417,27.40194
Zika,-100.72472,23.82083
Zika,-100.05,26.345
Zika,-102.25111,22.28444
Zika,-103.77611,19.77889
Zika,-88.59167,19.58472
Zika,-102.84333,20.66306
Zika,-98.96083,18.86556
Zika,-87.99833,20.17083
Zika,-102.69833,21.91806
Zika,-100.60611,21.06472
Zika,-100.09806,24.87528
Zika,-104.8975,19.3525
Zika,-100.55111,22.48389
Zika,-89.63,20.97
Zika,-88.15,21.15
Zika,-98.58,17.54
Zika,-100.63,17.22
Zika,-82.16,23.1
Zika,-97.77611,17.80472
Zika,-88.92139,20.12556
Zika,-97.43958,25.24103
Zika,-107.55789,25.80778
Zika,-100.91694,19.96861
Zika,-101.76194,21.14861
Zika,-99.54,18.34
Zika,-97.4,20.97
Zika,-98.23,21.35
Zika,-61.18,14.75
Zika,-95.88889,16.01667
Zika,-105.45806,20.00611
Zika,-103.18444,20.15361
Zika,-102.34389,20.705
Zika,-92.76556,18.14528
Zika,-100.96111,20.48278
Zika,-102.94889,19.29972
Zika,-99.98917,23.81972
Zika,-101.4425,20.31889
Zika,-99.53889,26.31056
Zika,-91.02778,18.14583
Zika,-88.48639,20.33333
Zika,-103.64903,19.22572
Zika,-102.32197,21.24225
Zika,-100.75078,18.89411
Zika,-102.06686,19.41167
Zika,-102.29828,18.93744
Zika,-100.34514,19.58194
Zika,-102.55744,20.288
Zika,-104.30497,19.04881
Zika,-109.02208,26.34561
Zika,-66.11,18.47
Zika,-93.21,15.69
Zika,-92.25,15.37
Zika,-102.19222,17.95611
Zika,-105.45911,22.40408
Zika,-108.98986,25.78217
Zika,-108.32386,26.71722
Zika,-108.46914,25.56897
Zika,-107.69014,25.08911
Zika,-105.29586,21.93906
Zika,-106.38069,23.21944
Zika,-107.36156,24.34189
Zika,-106.42544,23.94011
Zika,-86.27,11.72
Zika,-81.21,19.35
Zika,-88.3,18.54
Zika,-79.98,21.8
Zika,-86.28,12.21
Zika,-90.4,20.86
Zika,-83.73,9.15
Zika,-83.99,9.61
Zika,-99.92675,25.38589
Zika,-88.69319,18.18892
Zika,-103.61694,25.87778
Zika,-102.97889,25.75833
Zika,-102.06917,26.98417
Zika,-101.41806,26.90083
Zika,-88.11053,19.02778
Zika,-92.43,14.87
Zika,-61.7,16.03
Zika,-104.3,32.48
Zika,-66.25,18.02
Zika,-94.95661,17.88353
Zika,-96.43053,19.77078
Zika,-80.4,27.64
Zika,-79.27,21.77
Zika,-110.1,27.45
Zika,-83.25,10
Zika,-109.63,26.92
Zika,-101.80611,18.9625
Zika,-104.90056,21.23694
Zika,-104.66972,24.02361
Zika,-99.89,32.3
Zika,-95.46,29.19
Zika,-102.03,31.87
Zika,-96.56,33.19
Zika,-93.9,30.13
Zika,-96.3,30.67
Zika,-96.77,32.77
Zika,-95.5,30.3
Zika,-80.15,26.12
Zika,-83.79152,10.21855
Zika,-85.44639,10.62889
Zika,-85.25352,9.99684
Zika,-83.36242,8.88052
Zika,-82.95738,8.64398
Zika,-86.89,12.43
Zika,-78.06,37.14
Zika,-106.49,31.77
Zika,-110.3,31.96
Zika,-109.84,32.25
Zika,-95.37,29.83
Zika,-99.25083,25.7093
Zika,-93.755,16.08639
Zika,-82.83294,9.62519
Zika,-77.71,21.36
Zika,-96.47,15.75
Zika,-95.23,16.32
Zika,-110.83,32.19
Zika,-77.5,20.73
Zika,-74.91,20.22
Zika,-89.61,14.11
Zika,-60.64,11.3
Zika,-89.16,13.77
Zika,-110.94,31.34
Zika,-61.71,12.14
Zika,-97.08,15.87
Zika,-79.78,22.25
Zika,-79.85,8.9
Zika,-111.94,33.42
Zika,-106.82,32.36
