disease,decimalLongitude,decimalLatitude
Zika,4.71221,43.90278
Zika,2.75927,41.69374
Zika,1.72644,41.22143
Zika,21.29,48.68
Zika,-0.78,39.45
Zika,16.91,39.19
Zika,9.64,44.85
Zika,10.52,44.61
Zika,13.62,42.14
Zika,11.95,44.36
Zika,8.27355,48.84289
Zika,-0.88,43.19
Zika,22.17,40.9
Zika,2.47,43.05
Zika,23.7,40.27
Zika,5.45,46.06
Zika,16.26,47.14
Zika,5.55,45.29
Zika,-0.47,44.88
Zika,1.24,43.3
Zika,11.97,47.87
Zika,24.84,41.13
Zika,4.54,46.66
Zika,-0.17,40.25
Zika,5.73,46.78
Zika,9.39,45.9
Zika,26.11,44.44
Zika,9.94,46.32
Zika,4.37,44.82
Zika,2.65,44.32
Zika,-1.52,38.06
Zika,22.75,41.07
Zika,16.59,49.12
Zika,6.43,46.05
Zika,0.47,44.37
Zika,5.24,44.73
Zika,2.91,39.61
Zika,24.2,41.27
Zika,39.17,45.12
Zika,13.2,43.48
Zika,3.37,43.59
Zika,11.45,43.17
Zika,12.39,42.65
Zika,4.05,43.96
Zika,11.88,43.52
Zika,10.64,43.47
Zika,10.44,44.02
Zika,27.31,42.45
Zika,13.55,42.99
Zika,12.63,43.69
Zika,12.59,43.11
Zika,12.92,42.41
Zika,13.51,41.63
Zika,7.77,47.71
Zika,4.12,51.21
Zika,16.39,39.6
Zika,8.3,46.12
Zika,14.43,42.1
Zika,2.1,49.08
Zika,8.35,45.55
Zika,9.77,44.23
Zika,8.66,44.84
Zika,14.92,38.05
Zika,16.51,38.83
Zika,14.8,37.51
Zika,13.86,45.14
Zika,13.61,37.88
Zika,2.98,48.62
Zika,21.97,37.09
Zika,0.91,41.05
Zika,14.68,45.06
Zika,22.7,37.92
Zika,15.87,43.85
Zika,7.39,45.16
Zika,14.15,41.2
Zika,2.07,41.76
Zika,19.4,42.7
Zika,23.49,41.08
Zika,15.13,40.42
Zika,8.97,41.86
Zika,16.4,40.45
Zika,16.11,38.24
Zika,17.7,40.64
Zika,10.34,45.78
Zika,22.39,37.43
Zika,16.64,41.03
Zika,18.14,40.15
Zika,0.06,48.58
Zika,10.02,45.22
Zika,16.99,44.67
Zika,18.03,42.72
Zika,7.18,43.92
Zika,14.67,36.92
Zika,14.46,40.79
Zika,15.57,41.64
Zika,5.56,51.68
Zika,5.21,52.11
Zika,15.4,44.18
Zika,14.45,35.9
Zika,13.11,46.15
Zika,5.87,51.19
Zika,0.55,46.61
Zika,11.21,46.1
Zika,9.07,42.42
Zika,6.29,43.4
Zika,19.88,39.59
Zika,7.56,44.46
Zika,6.23,44.16
Zika,9.22,40.13
Zika,19.67,44.92
Zika,22.39,40.25
Zika,23.13,40.68
Zika,6.44,45.48
Zika,20.81,37.79
Zika,21.87,38.06
Zika,23.6,38
Zika,21.37,38.74
Zika,13.76,46.1
Zika,12.89,41.94
Zika,14.77,41.72
Zika,14.6,46.06
Zika,13.99,45.64
Zika,4.27,51.99
Zika,20.19,41.61
Zika,20.38,42.19
Zika,20.09,40.61
Zika,8.94,39.39
Zika,8.96,40.8
Zika,15.9,45.79
Zika,-2.08,41.47
Zika,7.82,43.96
Zika,19.79,40.15
Zika,12.05,41.98
Zika,11.86,44.98
Zika,12.21,46.28
Zika,11.09,43.94
Zika,12.45,41.63
Zika,8.32,44.23
Zika,11.26,42.71
Zika,-0.68,48.8
Zika,11.49,45.63
Zika,10.79,45.21
Zika,12.49,45.79
Zika,8.99,44.41
Zika,19.79,41
Zika,20.68,40.9
Zika,19.53,41.42
Zika,19.77,42.25
Zika,-1.18891,45.83704
Zika,11.34,44.5
Zika,4.99273,45.71698
Zika,118.98,-9.59
Zika,123.07,0.69
Zika,120.34,22.58
Zika,73.45,30.81
Zika,71.51,30.208
Zika,105.21,-5.38
Zika,113.9,-2.24
Zika,140.38,35.75
Zika,124.51,1.18
Zika,71.718,34.15
Zika,105.52,15.92
Zika,101.88,3.57
Zika,103.61,-1.62
Zika,80.03,9.67
Zika,112.66,-8.01
Zika,73.05,31.4167
Zika,109.12,-6.87
Zika,39.98,21.35
Zika,111.42,-6.97
Zika,39.17,21.54
Zika,72.94,34
Zika,102.07,13.81
Zika,112.79,-7.27
Zika,100.07,13.82
Zika,99.82,17.01
Zika,100.1,17.63
Zika,119.76,-5.48
Zika,85.6,24.47
Zika,110.67,-6.56
Zika,72.36,33.77
Zika,102.79,17.42
Zika,107.56,-6.92
Zika,99.02,18.58
Zika,100.26,16.82
Zika,102.58,17.85
Zika,74.33,31.59
Zika,68.37,25.38
Zika,109.23,-7.45
Zika,85.24,21.35
Zika,102.03,5.28
Zika,111.1,-8.21
Zika,98.87,19.14
Zika,102.55,3.73
Zika,117.13,5.35
Zika,103.39,2.05
Zika,101.16,16.42
Zika,90.4,23.74
Zika,100.31,5.41
Zika,102.31,2.33
Zika,101.11,4.78
Zika,102.26,6.12
Zika,100.24,20.25
Zika,115.99,-3.45
Zika,119.42,-2.34
Zika,90.29,24.18
Zika,120.22,-5.54
Zika,41.21,21.63
Zika,113.3,2.59
Zika,86.13,20.63
Zika,104.22,-4.17
Zika,108.73,12.76
Zika,120.13,23.06
Zika,97.06,5.14
Zika,120.5,-1.68
Zika,43.18,14.83
Zika,122.14,7.14
Zika,44.04,15.77
Zika,98.43,8.37
Zika,105.05,15.61
Zika,99.58,13.53
Zika,96.91,4.23
Zika,100.16,15.68
Zika,99.13,16.88
Zika,79.8,7.58
Zika,46.94,14.74
Zika,105.84,-1.61
Zika,105.32,15.12
Zika,95.96,5.34
Zika,107.18,-6.36
Zika,101.35,13.5
Zika,81.56,7.83
Zika,75.82,30.81
Zika,98.63,3.6
Zika,108.14,12.18
Zika,108.32,15.79
Zika,107.48,16.52
Zika,121.04,14.68
Zika,99.32,15.82
Zika,88.26,27.05
Zika,73.5,4.17
Zika,107.19,11.8
Zika,105.01,8.94
Zika,73.02,26.28
Zika,41.02342,43.00154
Zika,77.27,27.25
Zika,107.92,12.61
Zika,94.51,26.32
Zika,106.88,11.46
Zika,109.17,12.55
Zika,110.35,-7.78
Zika,72.79,26.75
Zika,123.95,0.66
Zika,107.67,11.99
Zika,108.39,11.75
Zika,93.78,25.8
Zika,124.86,1.53
Zika,79.52,29.08
Zika,113.82,-7.98
Zika,75.84,25.18
Zika,75.72,26.98
Zika,79.33,13.27
Zika,109.15,13.8
Zika,105.85,20.57
Zika,93.91,24.66
Zika,98.51,3.1
Zika,107.03,17.05
Zika,105.81,19.57
Zika,73.64,10.07
Zika,99.28,14.28
Zika,106.96,10.96
Zika,88.36,22.53
Zika,109.06,14.65
Zika,108.02,16.27
Zika,106.47,17.92
Zika,106.63,17.46
Zika,108.43,11.22
Zika,107.03,20.78
Zika,74.53,20.55
Zika,108.74,15.33
Zika,119.88,-0.92
Zika,109.15,11.92
Zika,74.02,15.4
Zika,100.06,7.02
Zika,102.06,15.07
Zika,100.07,13.07
Zika,99.05,15.06
Zika,110.89,-7.11
Zika,99.74,19.55
Zika,100.03,15.03
Zika,101.07,14.09
Zika,100.58,13.71
Zika,120.59,-8.51
Zika,76.64,12.3
Zika,76.92,8.48
Zika,120.85,22.12
Zika,106.63,-6.2
Zika,76.4,10.15
Zika,106.24,-6.64
Zika,115.43,-3.17
Zika,106.15,-6.07
Zika,107,-6.81
Zika,105.68,-6.58
Zika,84.72,27.31
Zika,69.17,34.53
Zika,117.27,-8.6
Zika,83.29,17.7
Zika,105.28,21.35
Zika,98.2,17.3
Zika,113.61,-7.1
Zika,105.92,9.58
Zika,106.35,21.88
Zika,100.35,-0.94
Zika,76.77,30.73
Zika,108.55,-6.76
Zika,73.78,15.87
Zika,77.5,10.01
Zika,117.01,-9.08
Zika,78.05,15.83
Zika,85.02,20.17
Zika,73.36,16.64
Zika,73.22,17.29
Zika,102.89,13.8
Zika,80.28,13.08
Zika,106.16,13.85
Zika,104.98,11.4
Zika,86.66,20.58
Zika,73.98,17.55
Zika,100.42,6.52
Zika,73.4,17.72
Zika,72.82,21.2
Zika,105.45,12
Zika,78.16,12.13
Zika,104.75,11.87
Zika,79.23,12.24
Zika,103.53,10.61
Zika,74.28,18.47
Zika,120.34,15.92
Zika,84.81,22.23
Zika,72.54,23.12
Zika,79.15,12.81
Zika,121.12,16.25
Zika,121.05,15.6
Zika,105.85,20.12
Zika,106.34,9.93
Zika,107.79,11.53
Zika,122.97,-8.34
Zika,105.79,10.03
Zika,105.09,10
Zika,106.36,11.26
Zika,106.5,10.74
Zika,106.12,10.4
Zika,105.45,9.23
Zika,104.85,9.53
