disease,decimalLongitude,decimalLatitude
Zika,-155.63574,20.0624
Zika,-175.22,-21.15
Zika,165.66,-21.3
Zika,-149.83,-17.5
Zika,-170.58,-14.27
Zika,-149.32,-17.72
Zika,167.21,-15.51
Zika,166.2,-21.64
Zika,-179.98,-16.84
Zika,178.81,-17.69
Zika,172.93,1.35
Zika,-159.77,-21.23
Zika,-172.21,-13.72
Zika,160.07,-11.56
Zika,178.43,-18.13
Zika,168.16,-16.25
Zika,171.37,7.12
Zika,166.45,-22.26667
Zika,160.15,-9.58
Zika,166.54,-20.66
Zika,164.85,-21.06
Zika,-169.87,-19.06
Zika,166.9167,-0.55
Zika,152.16667,-4.16667
Zika,168.32,-17.74
Zika,-155.60934,19.0441
Zika,-154.88726,19.42054
Zika,-155.1175,19.87333
Zika,-155.91992,19.47113
Zika,-156.37827,20.91928
Zika,-158.02266,21.44259
Zika,175.73418,-37.47808
Zika,144.79,13.44
Zika,-159.6,22.04
Zika,179.18,-16.58
Zika,178,-17.8
Zika,174.9,-36.96
Zika,177.46,-17.61
Zika,145.72,15.14
Zika,96.829,-12.174
Zika,-171.7167,-13.8667
Zika,-151.47,-16.83
Zika,-139,-9.76
Zika,144.54,-22.57
Zika,146.03,-17.52
Zika,136.77,-12.2
Zika,134.19,-19.65
Zika,115.75,-31.86
Zika,144.2,-20.85
Zika,151,-33.81
Zika,145.4,-20.52
Zika,145.74,-16.93
Zika,147.84,-20.55
Zika,143.14,-20.73
Zika,149.17,-21.16
Zika,148.25,-20.01
Zika,148.58,-20.4
Zika,141.75,-20.66
Zika,151.26,-23.85
Zika,140.51,-20.7
Zika,149.89,-22.81
Zika,146.63,-19.88
Zika,139.49,-20.72
Zika,143.04,-22.39
Zika,139.91,-22.91
Zika,148.16,-23.53
Zika,148.02,-23.09
Zika,149.67,-23.72
Zika,142.25,-10.17
Zika,142.17,-10.68
Zika,140.84,-17.49
Zika,146.02,-18.27
Zika,148.23334,-28.58333
Zika,144.53,-17.15
Zika,145.36,-16.46
Zika,143.55,-18.3
Zika,152.35,-24.88
Zika,149.18333,-26.58333
Zika,145.21666,-17.33333
Zika,153.5,-28.5
Zika,150.58333,-29.53333
Zika,145.25,-15.46667
Zika,149.05,-32.71667
Zika,148.5,-32.38334
Zika,131.39999,-13.46667
Zika,145.95,-30.08333
Zika,151.12257,-25.3706
Zika,151.12,-24.86
Zika,149.79,-25.64
Zika,138.12,-19.92
Zika,152.07,-26.19
Zika,146.23,-26.4
Zika,144.24,-23.44
Zika,150.74,-23.12
Zika,150.39,-23.64
Zika,149.07,-23.57
Zika,150.62,-26.73
Zika,145.28,-23.55
Zika,146.63,-23.65
Zika,147.63,-22.82
Zika,150.5,-24.4
Zika,145.47,-24.42
Zika,136.45,-13.97
Zika,151.6,-25.62
Zika,145.96666,-19.88333
Zika,143.3,-12.75
Zika,147.35001,-19.55
Zika,131.3333,-12.56667
Zika,132.8667,-12.58333
Zika,141.73334,-13.36667
Zika,153.39999,-27.98333
Zika,132.85001,-13.26667
Zika,151.95,-28.61667
Zika,152.7,-25.53333
Zika,152.45,-27.81667
Zika,134.3333,-14.61667
Zika,153.38333,-27.16667
Zika,153.03334,-26.26667
Zika,146.73331,-19.2
Zika,143.58333,-14.73333
Zika,142.16667,-34.18333
Zika,146.3833,-37.83333
Zika,151.45,-33.06667
Zika,150.89999,-34.38334
Zika,130.865,-12.381
Zika,152.88333,-27.4
Zika,131.03329,-13.06667
Zika,131.8833,-14.25
Zika,130.45,-13.46667
Zika,145.39999,-28.28333
Zika,144.85001,-21.4
Zika,145.43333,-34.4
