disease,decimalLongitude,decimalLatitude
Chikungunya,-99.194059,19.375841
Chikungunya,-117.013748,32.766212
Chikungunya,-98.425921,30.103642
Chikungunya,-115.542083,32.975115
Chikungunya,-97.693057,30.352726
Chikungunya,-105.442808,20.487292
Chikungunya,-118.26186,34.1964
Chikungunya,-90.060833,18.975278
Chikungunya,-111.78302,32.12824
Chikungunya,-89.9025,18.5175
Chikungunya,-120.083333,37.08333
Chikungunya,-119.583333,36.583343
Chikungunya,-105.099444,20.823611
Chikungunya,-90.734444,18.606667
Chikungunya,-87.466389,20.208056
Chikungunya,-91.169444,18.976389
Chikungunya,-98.375278,22.213889
Chikungunya,-99.3225,22.520833
Chikungunya,-88.045278,19.578611
Chikungunya,-100.131944,27.240278
Chikungunya,-95.313055,17.435278
Chikungunya,-94.4575,16.4
Chikungunya,-100.164722,18.889167
Chikungunya,-103.479444,20.796944
Chikungunya,-100.755555,23.372222
Chikungunya,-95.0375,17.0125
Chikungunya,-89.843055,19.744444
Chikungunya,-99.191111,21.016667
Chikungunya,-102.330833,21.245833
Chikungunya,-105.086111,22.747778
Chikungunya,-103.768611,19.746667
Chikungunya,-101.092778,22.933333
Chikungunya,-99.996667,21.931944
Chikungunya,-116.610833,31.863611
Chikungunya,-93.721667,16.695
Chikungunya,-99.031667,22.03
Chikungunya,-98.207778,23.7675
Chikungunya,-89.418333,20.302778
Chikungunya,-98.483333,24.214444
Chikungunya,-87.936389,20.654722
Chikungunya,-92.091667,18.255556
Chikungunya,-88.108333,19.024167
Chikungunya,-87.707222,18.716111
Chikungunya,-102.188055,21.824167
Chikungunya,-98.491667,21.744444
Chikungunya,-88.6025,20.965556
Chikungunya,-100.688333,21.760278
Chikungunya,-99.488889,18.908889
Chikungunya,-101.028889,22.219444
Chikungunya,-102.890555,21.181667
Chikungunya,-100.24,21.480556
Chikungunya,-93.375555,18
Chikungunya,-98.968055,21.483333
Chikungunya,-92.563889,16.338056
Chikungunya,-96.052778,18.120278
Chikungunya,-96.534722,18.070833
Chikungunya,-99.307222,23.478611
Chikungunya,-98.678055,20.499444
Chikungunya,-100.642778,21.043333
Chikungunya,-98.395833,20.913333
Chikungunya,-102.015833,20.347222
Chikungunya,-89.17,20.73
Chikungunya,-96.96,19.45
Chikungunya,-98.45,18.9
Chikungunya,-97.18,18.81
Chikungunya,-97.023611,17.955556
Chikungunya,-103.728889,22.388333
Chikungunya,-104.948055,19.3325
Chikungunya,-98.155555,16.612778
Chikungunya,-105.247778,19.77
Chikungunya,-103.8275,21.601389
Chikungunya,-90.720555,19.354722
Chikungunya,-99.053611,23.038889
Chikungunya,-103.266389,22.114167
Chikungunya,-99.798611,21.038333
Chikungunya,-98.140833,17.858333
Chikungunya,-98.955833,18.728333
Chikungunya,-100.364444,20.198611
Chikungunya,-97.868611,22.255278
Chikungunya,-97.823333,16.280555
Chikungunya,-99.770833,23.972222
Chikungunya,-98.098611,24.971111
Chikungunya,-99.910278,24.578889
Chikungunya,-98.766944,22.5425
Chikungunya,-99.006667,23.918611
Chikungunya,-96.683333,18.598611
Chikungunya,-104.334444,19.821667
Chikungunya,-99.670833,22.841667
Chikungunya,-93.374444,15.944167
Chikungunya,-100.724722,23.820833
Chikungunya,-99.654167,27.401944
Chikungunya,-102.251111,22.284444
Chikungunya,-100.116667,23.421944
Chikungunya,-88.591667,19.584722
Chikungunya,-102.843333,20.663056
Chikungunya,-87.998333,20.170833
Chikungunya,-96.266667,16.669444
Chikungunya,-100.551111,22.483889
Chikungunya,-88.15,21.15
Chikungunya,-100.63,17.22
Chikungunya,-62.69,17.29
Chikungunya,-90,20.59
Chikungunya,-98.58,17.54
Chikungunya,-90.4,20.859167
Chikungunya,-89.116667,21.2325
Chikungunya,-97.439583,25.241028
Chikungunya,-88.921389,20.125556
Chikungunya,-97.674861,24.55675
Chikungunya,-96.238583,15.685528
Chikungunya,-107.557889,25.807778
Chikungunya,-100.916944,19.968611
Chikungunya,-97.940278,17.038889
Chikungunya,-99.54,18.34
Chikungunya,-98.22,21.34
Chikungunya,-97.33,20.97
Chikungunya,-60.84,14.44
Chikungunya,-61.18,14.75
Chikungunya,-108.47,25.58
Chikungunya,-99.88,17.67
Chikungunya,-100.18,26.5
Chikungunya,-95.888889,16.016667
Chikungunya,-97.054167,20.060556
Chikungunya,-94.435278,18.137778
Chikungunya,-92.248056,15.364167
Chikungunya,-103.262778,19.667778
Chikungunya,-102.873333,19.325
Chikungunya,-103.189167,20.29
Chikungunya,-92.765555,18.145278
Chikungunya,-93.104167,16.685278
Chikungunya,-102.343889,20.705
Chikungunya,-100.961111,20.482778
Chikungunya,-101.4425,20.318889
Chikungunya,-99.538889,26.310556
Chikungunya,-91.027778,18.145833
Chikungunya,-101.251944,20.951111
Chikungunya,-88.486389,20.333333
Chikungunya,-102.066861,19.411667
Chikungunya,-100.750778,18.894111
Chikungunya,-103.870056,20.39175
Chikungunya,-102.55575,20.28525
Chikungunya,-100.345139,19.581944
Chikungunya,-102.298278,18.937444
Chikungunya,-89.62,20.98
Chikungunya,-66.11,18.47
Chikungunya,-92.9,15.43
Chikungunya,-92.15,14.68
Chikungunya,-80.44,22.15
Chikungunya,-66.29,17.96
Chikungunya,-99.76107,29.35034
Chikungunya,-106.381528,23.220694
Chikungunya,-107.690139,25.089111
Chikungunya,-105.295861,21.939056
Chikungunya,-104.322056,19.04475
Chikungunya,-105.459111,22.404083
Chikungunya,-108.323861,26.717222
Chikungunya,-108.985806,25.919583
Chikungunya,-107.361556,24.341889
Chikungunya,-106.59775,23.792861
Chikungunya,-86.28,12.21
Chikungunya,-88.26,18.55
Chikungunya,-77.91,21.38
Chikungunya,-83.35,9.95
Chikungunya,-79.98,21.8
Chikungunya,-83.99,9.61
Chikungunya,-86.27,11.72
Chikungunya,-83.73,9.15
Chikungunya,-101.817361,19.011611
Chikungunya,-102.978889,25.758333
Chikungunya,-102.069167,26.984167
Chikungunya,-103.616944,25.877778
Chikungunya,-88.693194,18.188917
Chikungunya,-101.418056,26.900833
Chikungunya,-82.41,27.99
Chikungunya,-61.58,16.27
Chikungunya,-96.430528,19.770778
Chikungunya,-110.1,27.45
Chikungunya,-79.27,21.77
Chikungunya,-109.63,26.91
Chikungunya,-95.52,18.63
Chikungunya,-104.23,32.42
Chikungunya,-97.5,25.91
Chikungunya,-104.900556,21.236944
Chikungunya,-103.730556,19.243056
Chikungunya,-104.669722,24.023611
Chikungunya,-94.91,17.95
Chikungunya,-96.77,32.77
Chikungunya,-102.03,31.87
Chikungunya,-93.9,30.13
Chikungunya,-96.56,33.19
Chikungunya,-90.53,14.63
Chikungunya,-97.2,31.56
Chikungunya,-95.78,29.53
Chikungunya,-95.5,30.3
Chikungunya,-99.89,32.3
Chikungunya,-96.3,30.67
Chikungunya,-83.79152,10.21855
Chikungunya,-85.37205,10.10181
Chikungunya,-82.95738,8.64398
Chikungunya,-83.36242,8.88052
Chikungunya,-101.785278,21.106944
Chikungunya,-109.84,32.25
Chikungunya,-78.06,37.14
Chikungunya,-110.3,31.96
Chikungunya,-106.49,31.77
Chikungunya,-86.89,12.43
Chikungunya,-93.898611,16.233889
Chikungunya,-82.83294,9.62519
Chikungunya,-60.55,11.32
Chikungunya,-89.61,14.11
Chikungunya,-61.67,12.07
Chikungunya,-79.78,22.25
Chikungunya,-110.9,32.22
Chikungunya,-77.5,20.73
Chikungunya,-96.7,17.07
Chikungunya,-110.93,31.29
Chikungunya,-87.22,14.08
Chikungunya,-99.949333,25.856233
Chikungunya,-79.85,8.9
Chikungunya,-106.82,32.36
Chikungunya,-111.94,33.42
Chikungunya,-80.06,26.71
Chikungunya,-112.55,34.61
Chikungunya,-79.24,22.33
Chikungunya,-110.954167,29.098889
Chikungunya,-112.49,33.36
Chikungunya,-86,14.71
Chikungunya,-86.8475,21.160556
Chikungunya,-97.071667,15.861944
Chikungunya,-84.26846,10.00925
Chikungunya,-80.27,25.68
Chikungunya,-85.43,10.63
Chikungunya,-101.53,17.65
Chikungunya,-96.14,19.19
Chikungunya,-111.35,32.91
Chikungunya,-105.528055,25.998333
Chikungunya,-90.53,19.83
Chikungunya,-87.82,15.4
Chikungunya,-99.03,26.4
Chikungunya,-91.82,18.65
Chikungunya,-100.95,29.2
Chikungunya,-61.58,10.14
Chikungunya,-65.67,18.26
Chikungunya,-66.57,18.36
Chikungunya,-75.77,20.05
Chikungunya,-82.42,23.11
Chikungunya,-76.21,20.23
Chikungunya,-88.19,17.49
Chikungunya,-98.63,16.62
Chikungunya,-80.0567,41.0639
Chikungunya,-80.75,7.83
Chikungunya,-98.64,24.93
Chikungunya,-76.82,18.03
Chikungunya,-86.58,13.05
Chikungunya,-82.43,8.43
Chikungunya,-99.36,31.49
Chikungunya,-88.55,15.72
Chikungunya,-104.406667,20.807778
Chikungunya,-97.524167,20.495833
Chikungunya,-60.93,10.8
Chikungunya,-61.08,10.17
Chikungunya,-101.514444,27.8775
Chikungunya,-98.574167,26.009444
Chikungunya,-100.52,28.71
Chikungunya,-102.783611,18.098333
